KEY	ERROR	SCORE	OVERLAP TYPE
seq5_1-seq8_92	No error	0.507959983	Bad Overlap
seq5_16-seq8_86	No error	0.518936896	Bad Overlap
seq5_20-seq8_54	No error	0.506978214	Bad Overlap
seq5_21-seq8_17	No error	0.548375683	Bad Overlap
seq5_23-seq5_96	No error	0.673708023	Good Overlap
seq5_24-seq9_32	No error	0.515657266	Bad Overlap
seq5_31-seq6_83	No error	0.54451023	Bad Overlap
seq5_32-seq7_89	No error	0.516359734	Bad Overlap
seq5_58-seq8_90	No error	0.525094582	Bad Overlap
seq5_58-seq8_88	No error	0.498752595	Bad Overlap
seq5_60-seq9_45	No error	0.494925855	Bad Overlap
seq5_62-seq6_21	No error	0.534287752	Bad Overlap
seq5_62-seq9_56	No error	0.503442448	Bad Overlap
seq5_63-seq5_66	No error	0.666627185	Good Overlap
seq5_67-seq7_63	No error	0.512670542	Bad Overlap
seq5_69-seq7_89	No error	0.522104311	Bad Overlap
seq5_69-seq5_75	No error	0.683309266	Good Overlap
seq5_69-seq9_67	No error	0.502336631	Bad Overlap
seq5_75-seq7_89	No error	0.507455569	Bad Overlap
seq5_77-seq7_91	No error	0.515965624	Bad Overlap
seq5_77-seq9_98	No error	0	Bad Overlap
seq5_77-seq6_84	No error	0.529097875	Bad Overlap
seq5_77-seq9_57	No error	0.493213156	Bad Overlap
seq5_79-seq7_76	No error	0.516584745	Bad Overlap
seq5_83-seq7_16	No error	0.536098353	Bad Overlap
seq5_86-seq7_13	No error	0.533783384	Bad Overlap
seq5_87-seq8_86	No error	0.509038995	Bad Overlap
seq5_88-seq5_92	No error	0.687030245	Good Overlap
seq5_88-seq9_42	No error	0.501746263	Bad Overlap
seq5_89-seq6_73	No error	0.525761426	Bad Overlap
seq5_90-seq6_52	No error	0.526564644	Bad Overlap
seq5_90-seq6_46	No error	0.539998047	Bad Overlap
seq5_90-seq9_75	No error	0.506279964	Bad Overlap
seq5_91-seq6_87	No error	0.532150674	Bad Overlap
seq5_92-seq9_42	No error	0.490155836	Bad Overlap
seq5_93-seq8_82	No error	0.510255253	Bad Overlap
seq5_94-seq8_76	No error	0.516190179	Bad Overlap
seq5_95-seq7_59	No error	0.508618363	Bad Overlap
seq5_98-seq9_41	No error	0.496128504	Bad Overlap
seq5_100-seq7_94	No error	0	Bad Overlap
seq5_100-seq6_55	No error	0.532412087	Bad Overlap
seq4_4-seq9_49	No error	0.522122647	Bad Overlap
seq4_10-seq6_1	No error	0.549307046	Bad Overlap
seq4_13-seq6_66	No error	0.550255317	Bad Overlap
seq4_14-seq5_89	No error	0.554765499	Bad Overlap
seq4_14-seq6_73	No error	0.547339465	Bad Overlap
seq4_27-seq7_41	No error	0.534448579	Bad Overlap
seq4_27-seq6_73	No error	0.53688191	Bad Overlap
seq4_30-seq9_95	No error	0.524691001	Bad Overlap
seq4_32-seq5_5	No error	0.552060419	Bad Overlap
seq4_33-seq8_84	No error	0.510063775	Bad Overlap
seq4_35-seq4_97	No error	0.704575987	Good Overlap
seq4_38-seq7_71	No error	0.544690798	Bad Overlap
seq4_40-seq4_67	No error	0.684580497	Good Overlap
seq4_41-seq5_97	No error	0.553833043	Bad Overlap
seq4_42-seq9_81	No error	0.515297636	Bad Overlap
seq4_47-seq8_77	No error	0.520882311	Bad Overlap
seq4_48-seq8_91	No error	0.521621185	Bad Overlap
seq4_49-seq6_75	No error	0.554392128	Bad Overlap
seq4_51-seq8_94	No error	0.516237568	Bad Overlap
seq4_52-seq6_6	No error	0.572419029	Bad Overlap
seq4_53-seq6_3	No error	0.520349099	Bad Overlap
seq4_54-seq9_69	No error	0.5132696	Bad Overlap
seq4_54-seq7_51	No error	0.539484	Bad Overlap
seq4_55-seq6_65	No error	0.54314325	Bad Overlap
seq4_55-seq9_36	No error	0.502384687	Bad Overlap
seq4_58-seq5_82	No error	0.558901806	Bad Overlap
seq4_62-seq9_79	No error	0.511595672	Bad Overlap
seq4_64-seq6_41	No error	0.547864234	Bad Overlap
seq4_64-seq6_32	No error	0.534950209	Bad Overlap
seq4_64-seq6_62	No error	0.534719528	Bad Overlap
seq4_66-seq6_25	No error	0.565568111	Bad Overlap
seq4_67-seq9_97	No error	0.520242687	Bad Overlap
seq4_70-seq6_71	No error	0.538224319	Bad Overlap
seq4_78-seq7_35	No error	0.539580504	Bad Overlap
seq4_80-seq8_61	No error	0.53745542	Bad Overlap
seq4_84-seq6_32	No error	0.528354058	Bad Overlap
seq4_85-seq7_90	No error	0.529192078	Bad Overlap
seq4_85-seq9_31	No error	0.509944981	Bad Overlap
seq4_85-seq9_78	No error	0.570671044	Bad Overlap
seq4_86-seq5_20	No error	0.54796819	Bad Overlap
seq4_86-seq8_54	No error	0.522513005	Bad Overlap
seq4_87-seq5_87	No error	0.54894325	Bad Overlap
seq4_87-seq8_86	No error	0.50647506	Bad Overlap
seq4_88-seq9_35	No error	0.50859604	Bad Overlap
seq4_89-seq6_33	No error	0.542857872	Bad Overlap
seq4_89-seq7_93	No error	0.54211635	Bad Overlap
seq4_92-seq5_25	No error	0.550710755	Bad Overlap
seq4_92-seq7_25	No error	0.529984442	Bad Overlap
seq4_93-seq5_13	No error	0.55272453	Bad Overlap
seq4_95-seq6_37	No error	0.542881834	Bad Overlap
seq4_97-seq5_99	No error	0.549772227	Bad Overlap
seq1_1-seq1_90	No error	0.67860733	Good Overlap
seq1_2-seq4_84	No error	0.614926691	Bad Overlap
seq1_3-seq9_70	No error	0.541495338	Bad Overlap
seq1_4-seq1_95	No error	0.661744682	Good Overlap
seq1_4-seq5_62	No error	0.597882557	Bad Overlap
seq1_5-seq5_29	No error	0.584928919	Bad Overlap
seq1_6-seq9_96	No error	0.558339894	Bad Overlap
seq1_6-seq6_72	No error	0.588530399	Bad Overlap
seq1_7-seq7_71	No error	0.561614218	Bad Overlap
seq1_7-seq2_73	No error	0.620759201	Bad Overlap
seq1_9-seq5_99	No error	0.615473702	Bad Overlap
seq1_11-seq4_95	No error	0.611516307	Bad Overlap
seq1_13-seq3_22	No error	0.615919884	Bad Overlap
seq1_14-seq3_35	No error	0.627406951	Bad Overlap
seq1_17-seq8_58	No error	0.559323216	Bad Overlap
seq1_17-seq6_87	No error	0.571367337	Bad Overlap
seq1_17-seq5_7	No error	0.581242398	Bad Overlap
seq1_17-seq5_91	No error	0.589042153	Bad Overlap
seq1_19-seq1_70	No error	0.674644102	Good Overlap
seq1_23-seq1_91	No error	0.678212905	Good Overlap
seq1_23-seq6_65	No error	0.587043921	Bad Overlap
seq1_24-seq7_78	No error	0.570896235	Bad Overlap
seq1_24-seq9_49	No error	0.538570906	Bad Overlap
seq1_24-seq4_4	No error	0.64523458	Bad Overlap
seq1_27-seq3_73	No error	0.641646906	Bad Overlap
