KEY , GAPS , MATCHES , ALL , OVERLAP_TYPE 
seq5_1-seq8_92,0.020581374,0.108609814,0.053693744,Bad Overlap
seq5_16-seq8_86,0.031358353,0.152089972,0.077028011,Bad Overlap
seq5_20-seq8_54,0.044903428,0.228216264,0.112468451,Bad Overlap
seq5_21-seq8_17,0.058059552,0.330538481,0.174846732,Bad Overlap
seq5_23-seq5_96,0.04742061,0.283184222,0.183939818,Good Overlap
seq5_24-seq9_32,0.026347836,0.142462959,0.071195375,Bad Overlap
seq5_31-seq6_83,0.029363433,0.152782525,0.08084122,Bad Overlap
seq5_32-seq7_89,0.012661859,0.064698116,0.03246671,Bad Overlap
seq5_58-seq8_90,0.01055795,0.052845594,0.027014908,Bad Overlap
seq5_58-seq8_88,0.021233644,0.099760485,0.048589315,Bad Overlap
seq5_60-seq9_45,0.012457572,0.061417701,0.02964737,Bad Overlap
seq5_62-seq6_21,0.087190006,0.461926694,0.2401291,Bad Overlap
seq5_62-seq9_56,0.016016668,0.078907261,0.038621949,Bad Overlap
seq5_63-seq5_66,0.094338891,0.582445388,0.371927469,Good Overlap
seq5_67-seq7_63,0.094800489,0.43947515,0.220356459,Bad Overlap
seq5_69-seq7_89,0.074311685,0.373232976,0,Bad Overlap
seq5_69-seq5_75,0.091432001,0.605600204,0.395316035,Good Overlap
seq5_69-seq9_67,0.031561453,0.147828365,0.072686076,Bad Overlap
seq5_75-seq7_89,0.05048254,0,0,Bad Overlap
seq5_77-seq7_91,0.052537866,0,0,Bad Overlap
seq5_77-seq9_98,0.064155859,0,0,Bad Overlap
seq5_77-seq6_84,0.080473014,0.39089452,0,Bad Overlap
seq5_77-seq9_57,0.073726334,0.348101511,0.167992398,Bad Overlap
seq5_79-seq7_76,0.055726038,0.272788066,0,Bad Overlap
seq5_83-seq7_16,0.051043704,0.263197278,0.137506652,Bad Overlap
seq5_86-seq7_13,0.019315268,0.100311443,0.051964336,Bad Overlap
seq5_87-seq8_86,0.03931141,0.198896749,0,Bad Overlap
seq5_88-seq5_92,0.046516638,0.3092184,0.203286088,Good Overlap
seq5_88-seq9_42,0.038127044,0.184335275,0.090348492,Bad Overlap
seq5_89-seq6_73,0.061788714,0.307155089,0,Bad Overlap
seq5_90-seq6_52,0.020483519,0.101304673,0.051910257,Bad Overlap
seq5_90-seq6_46,0.014951228,0.077111752,0.040409997,Bad Overlap
seq5_90-seq9_75,0.016538998,0.084042626,0.041401367,Bad Overlap
seq5_91-seq6_87,0.038055484,0.191284217,0.099110136,Bad Overlap
seq5_92-seq9_42,0.050798956,0.231661617,0,Bad Overlap
seq5_93-seq8_82,0.025447299,0.123778982,0.061616005,Bad Overlap
seq5_94-seq8_76,0.07679426,0.430723339,0.215373201,Bad Overlap
seq5_95-seq7_59,0.064120781,0.324823803,0.161165866,Bad Overlap
seq5_98-seq9_41,0.006709602,0.033925087,0.016438473,Bad Overlap
seq5_100-seq7_94,0.08805391,0,0,Bad Overlap
seq5_100-seq6_55,0.072130188,0.380319611,0.196980306,Bad Overlap
seq4_4-seq9_49,0.026142818,0.123630015,0.062973886,Bad Overlap
seq4_10-seq6_1,0.050886874,0.261457362,0.139429107,Bad Overlap
seq4_13-seq6_66,0.021450154,0.116052346,0.06200267,Bad Overlap
seq4_14-seq5_89,0.03902192,0.225272553,0.120948586,Bad Overlap
seq4_14-seq6_73,0.019239169,0.102321878,0.05444497,Bad Overlap
seq4_27-seq7_41,0.095284472,0.462585743,0.24116618,Bad Overlap
seq4_27-seq6_73,0.092930816,0.456958201,0.23880491,Bad Overlap
seq4_30-seq9_95,0.080714615,0.431783061,0.220108458,Bad Overlap
seq4_32-seq5_5,0.05190428,0.26515362,0.142532888,Bad Overlap
seq4_33-seq8_84,0.083562137,0.435563814,0.216764429,Bad Overlap
seq4_35-seq4_97,0.006865979,0.043231683,0.029074335,Good Overlap
seq4_38-seq7_71,0.027587731,0.147313453,0.077770314,Bad Overlap
seq4_40-seq4_67,0.053759719,0.344175442,0.226536641,Good Overlap
seq4_41-seq5_97,0.026414215,0.140534745,0.075654076,Bad Overlap
seq4_42-seq9_81,0.054677935,0.269527826,0,Bad Overlap
seq4_47-seq8_77,0.044435735,0.233095192,0.117924317,Bad Overlap
seq4_48-seq8_91,0.012402073,0.061315954,0.031154835,Bad Overlap
seq4_49-seq6_75,0.077668674,0.413862312,0.222484626,Bad Overlap
seq4_51-seq8_94,0.025419467,0.123498957,0.062253842,Bad Overlap
seq4_52-seq6_6,0.026421486,0.160916607,0.088812394,Bad Overlap
seq4_53-seq6_3,0.028276791,0.156173545,0.078857502,Bad Overlap
seq4_54-seq9_69,0.015026646,0.079603263,0.039715374,Bad Overlap
