KEY , GAPS , MATCHES , ALL , OVERLAP_TYPE 
seq5_1-seq8_92,0.024671356,0.110155485,0.055120112,Bad Overlap
seq5_16-seq8_86,0.03722502,0.154264167,0.079074279,Bad Overlap
seq5_20-seq8_54,0.053156054,0.23171958,0.115655729,Bad Overlap
seq5_21-seq8_17,0.066203899,0.334375995,0.178596637,Bad Overlap
seq5_23-seq5_96,0.054788465,0.286095077,0.187486943,Good Overlap
seq5_24-seq9_32,0.030867267,0.144430748,0.073015827,Bad Overlap
seq5_31-seq6_83,0.03478138,0.154867799,0.082896262,Bad Overlap
seq5_32-seq7_89,0.015015505,0.065681814,0.033379475,Bad Overlap
seq5_58-seq8_90,0.012285226,0.053530814,0.027664111,Bad Overlap
seq5_58-seq8_88,0.025106402,0.101323741,0.049991843,Bad Overlap
seq5_60-seq9_45,0.014488872,0.062217228,0.030362276,Bad Overlap
seq5_62-seq6_21,0.103423242,0.467792399,0.245838973,Bad Overlap
seq5_62-seq9_56,0.019153242,0.080315771,0.039885814,Bad Overlap
seq5_63-seq5_66,0.110958658,0.590245966,0.381187144,Good Overlap
seq5_67-seq7_63,0.115200485,0.446913815,0.227273461,Bad Overlap
seq5_69-seq7_89,0.088903136,0.378963295,0,Bad Overlap
seq5_69-seq5_75,0.10956646,0.614283462,0.405889734,Good Overlap
seq5_69-seq9_67,0.036507917,0.149595803,0.074301124,Bad Overlap
seq5_75-seq7_89,0.059824267,0.254029002,0,Bad Overlap
seq5_77-seq7_91,0.061313115,0,0,Bad Overlap
seq5_77-seq9_98,0.075058289,0,0,Bad Overlap
seq5_77-seq6_84,0.094882242,0.396659633,0,Bad Overlap
seq5_77-seq9_57,0.086251292,0.352738172,0.17214281,Bad Overlap
seq5_79-seq7_76,0.064837061,0.276350528,0,Bad Overlap
seq5_83-seq7_16,0.055883182,0.264952117,0.139219864,Bad Overlap
seq5_86-seq7_13,0.02339991,0.101951625,0.053541997,Bad Overlap
seq5_87-seq8_86,0.046022113,0.201577975,0,Bad Overlap
seq5_88-seq5_92,0.054402809,0.312878385,0.207784843,Good Overlap
seq5_88-seq9_42,0.044410475,0.186686036,0.092487598,Bad Overlap
seq5_89-seq6_73,0.071666608,0.31089831,0,Bad Overlap
seq5_90-seq6_52,0.024084752,0.102767992,0.053296249,Bad Overlap
seq5_90-seq6_46,0.017394324,0.078131947,0.041399281,Bad Overlap
