KEY , GAPS , MATCHES , ALL , OVERLAP_TYPE 
seq5_1-seq8_92,0.017857107,0.107414196,0.052602245,Bad Overlap
seq5_16-seq8_86,0.027928288,0.150638769,0.075675901,Bad Overlap
seq5_20-seq8_54,0.039802195,0.225744753,0.110244296,Bad Overlap
seq5_21-seq8_17,0.052752739,0.327764175,0.172158379,Bad Overlap
seq5_23-seq5_96,0.04241234,0.280954864,0.181244452,Good Overlap
seq5_24-seq9_32,0.023401415,0.141006478,0.069861478,Bad Overlap
seq5_31-seq6_83,0.026004899,0.151304034,0.079398551,Bad Overlap
seq5_32-seq7_89,0.011210355,0.06400463,0.031830167,Bad Overlap
seq5_58-seq8_90,0.009473319,0.05236076,0.026559822,Bad Overlap
seq5_58-seq8_88,0.018800126,0.09863985,0.04759505,Bad Overlap
seq5_60-seq9_45,0.011324827,0.060918405,0.029204873,Bad Overlap
seq5_62-seq6_21,0.077267158,0.457820438,0.236168931,Bad Overlap
seq5_62-seq9_56,0.01405821,0.077895683,0.03772558,Bad Overlap
seq5_63-seq5_66,0.084448172,0.577180282,0.365736654,Good Overlap
seq5_67-seq7_63,0.082450627,0.43422424,0.215532667,Bad Overlap
seq5_69-seq7_89,0.065855041,0.369420394,0,Bad Overlap
seq5_69-seq5_75,0.080742921,0.599704982,0.388210694,Good Overlap
seq5_69-seq9_67,0.028571706,0.146632265,0.071602358,Bad Overlap
seq5_75-seq7_89,0.044976894,0,0,Bad Overlap
seq5_77-seq7_91,0.046964191,0,0,Bad Overlap
seq5_77-seq9_98,0.057276769,0,0,Bad Overlap
seq5_77-seq6_84,0.071782206,0.386943777,0,Bad Overlap
seq5_77-seq9_57,0.065544592,0.344665493,0.164946659,Bad Overlap
seq5_79-seq7_76,0.049859873,0.270200592,0,Bad Overlap
seq5_83-seq7_16,0.047558813,0.26183539,0.136183847,Bad Overlap
seq5_86-seq7_13,0.016654056,0.099062083,0.050777106,Bad Overlap
seq5_87-seq8_86,0.03514093,0.197010618,0,Bad Overlap
seq5_88-seq5_92,0.041441823,0.306546096,0.200030145,Good Overlap
