KEY , GAPS , MATCHES , ALL , OVERLAP_TYPE 
seq5_1-seq8_92,0.033366842,0.112779109,0.057580642,Bad Overlap
seq5_16-seq8_86,0.049635674,0.157981886,0.082630164,Bad Overlap
seq5_20-seq8_54,0.069942106,0.237533313,0.121034236,Bad Overlap
seq5_21-seq8_17,0.085249057,0.341893379,0.186047411,Bad Overlap
seq5_23-seq5_96,0.071837252,0.291636518,0.194326571,Good Overlap
seq5_24-seq9_32,0.039821237,0.147653913,0.076042937,Bad Overlap
seq5_31-seq6_83,0.046064357,0.15839068,0.086421896,Bad Overlap
seq5_32-seq7_89,0.019481976,0.067213267,0.034823417,Bad Overlap
seq5_58-seq8_90,0.016142525,0.054788199,0.028873721,Bad Overlap
seq5_58-seq8_88,0.032840812,0.103880801,0.052324949,Bad Overlap
seq5_60-seq9_45,0.018455346,0.063519751,0.031543594,Bad Overlap
seq5_62-seq6_21,0.13125321,0.476103788,0.25403583,Bad Overlap
seq5_62-seq9_56,0.024698309,0.082361665,0.041754197,Bad Overlap
seq5_63-seq5_66,0.144660134,0.603222008,0.396821558,Good Overlap
seq5_67-seq7_63,0.15143556,0.45756466,0.237347155,Bad Overlap
seq5_69-seq7_89,0.11494282,0.387327899,0,Bad Overlap
seq5_69-seq5_75,0.143125982,0.627334524,0.422023664,Good Overlap
seq5_69-seq9_67,0.047784192,0.152919207,0.077382052,Bad Overlap
seq5_75-seq7_89,0.079707101,0.2602378,0,Bad Overlap
seq5_77-seq7_91,0.078097921,0,0,Bad Overlap
seq5_77-seq9_98,0.09562131,0,0,Bad Overlap
seq5_77-seq6_84,0.122723603,0.405835838,0.215812106,Bad Overlap
seq5_77-seq9_57,0.110360093,0.360146975,0.178870765,Bad Overlap
seq5_79-seq7_76,0.083124868,0.2822969,0,Bad Overlap
seq5_83-seq7_16,0.070432301,0.26948813,0.14369377,Bad Overlap
seq5_86-seq7_13,0.029462569,0.103956906,0.055500143,Bad Overlap
seq5_87-seq8_86,0.05875298,0.205804237,0,Bad Overlap
seq5_88-seq5_92,0.070646999,0.319081362,0.215513236,Good Overlap
seq5_88-seq9_42,0.058175866,0.190920283,0.096398415,Bad Overlap
seq5_89-seq6_73,0.094466705,0.317992244,0,Bad Overlap
seq5_90-seq6_52,0.03052125,0.104946057,0.055389992,Bad Overlap
seq5_90-seq6_46,0.02223943,0.079817093,0.04305726,Bad Overlap
seq5_90-seq9_75,0.024659718,0.086990828,0.04411465,Bad Overlap
seq5_91-seq6_87,0.05670264,0.197593531,0.105240775,Bad Overlap
seq5_92-seq9_42,0.076423372,0.239939164,0.118747212,Bad Overlap
seq5_93-seq8_82,0.039460067,0.128502387,0.066018186,Bad Overlap
seq5_94-seq8_76,0.115556233,0.445210075,0.228967025,Bad Overlap
seq5_95-seq7_59,0.106765776,0.337822002,0.173347683,Bad Overlap
seq5_98-seq9_41,0.010880643,0.03519904,0.017604049,Bad Overlap
seq5_100-seq7_94,0.133154998,0,0,Bad Overlap
seq5_100-seq6_55,0.108534609,0.392457843,0.208815617,Bad Overlap
seq4_4-seq9_49,0.0412925,0.128871913,0.067955628,Bad Overlap
seq4_10-seq6_1,0.073640134,0.269987752,0.14791458,Bad Overlap
seq4_13-seq6_66,0.031835801,0.119594494,0.065565774,Bad Overlap
seq4_14-seq5_89,0.06022365,0.232804331,0.128574236,Bad Overlap
seq4_14-seq6_73,0.027905224,0.105220662,0.057349191,Bad Overlap
seq4_27-seq7_41,0.151815264,0.480298284,0.25853401,Bad Overlap
seq4_27-seq6_73,0.140090269,0.47338557,0.254852958,Bad Overlap
seq4_30-seq9_95,0.115997272,0.44411493,0.231917656,Bad Overlap
seq4_32-seq5_5,0.075710405,0.272900954,0.150368548,Bad Overlap
seq4_33-seq8_84,0.129204128,0.44946651,0.229849638,Bad Overlap
seq4_35-seq4_97,0.010516843,0.044831511,0.031088068,Good Overlap
seq4_38-seq7_71,0.041051318,0.152320964,0.082717218,Bad Overlap
seq4_40-seq4_67,0.080721017,0.354080952,0.238877755,Good Overlap
seq4_41-seq5_97,0.039840238,0.144940376,0.080125472,Bad Overlap
seq4_42-seq9_81,0.081956141,0.278881673,0.144208385,Bad Overlap
seq4_47-seq8_77,0.069673119,0.242075803,0.126442641,Bad Overlap
seq4_48-seq8_91,0.020997064,0.064136246,0.03384636,Bad Overlap
seq4_49-seq6_75,0.114364242,0.427336637,0.236048083,Bad Overlap
seq4_51-seq8_94,0.040816487,0.128235206,0.066749457,Bad Overlap
seq4_52-seq6_6,0.036942108,0.165097692,0.09314723,Bad Overlap
seq4_53-seq6_3,0.041052133,0.160819133,0.083262136,Bad Overlap
seq4_54-seq9_69,0.022336779,0.082166579,0.042116212,Bad Overlap
seq4_54-seq7_51,0.13330383,0.475712165,0.256514712,Bad Overlap
seq4_55-seq6_65,0.139510426,0.485989923,0.264506699,Bad Overlap
seq4_55-seq9_36,0.064649219,0.216559082,0.109446346,Bad Overlap
seq4_58-seq5_82,0.141147235,0.49677703,0.277541971,Bad Overlap
seq4_62-seq9_79,0.046568011,0.160324853,0.082269391,Bad Overlap
seq4_64-seq6_41,0.107543815,0.389326985,0.213014466,Bad Overlap
seq4_64-seq6_32,0.13845511,0.47599786,0.255259809,Bad Overlap
seq4_64-seq6_62,0.052205621,0.168927501,0.090947324,Bad Overlap
seq4_66-seq6_25,0.023223451,0.090978733,0.051136658,Bad Overlap
seq4_67-seq9_97,0.011822217,0.04462405,0.023160318,Bad Overlap
seq4_70-seq6_71,0.108102426,0.377042802,0.203287316,Bad Overlap
seq4_78-seq7_35,0.140039113,0.477687869,0.258313294,Bad Overlap
seq4_80-seq8_61,0.023441686,0.08699251,0.04659473,Bad Overlap
seq4_84-seq6_32,0.016517378,0.056167737,0.029759346,Bad Overlap
seq4_85-seq7_90,0.133631403,0.471011487,0,Bad Overlap
seq4_85-seq9_31,0.158940835,0.460577349,0.237864594,Bad Overlap
seq4_85-seq9_78,0.126060169,0.483684051,0.274680465,Bad Overlap
seq4_86-seq5_20,0.053648844,0.194843941,0.106571526,Bad Overlap
seq4_86-seq8_54,0.043103161,0.157069322,0.0819876,Bad Overlap
seq4_87-seq5_87,0.060390131,0.226169876,0,Bad Overlap
seq4_87-seq8_86,0.029681736,0.101341476,0.051465686,Bad Overlap
seq4_88-seq9_35,0.022457537,0.075006305,0.038325266,Bad Overlap
seq4_89-seq6_33,0.03596228,0.120926219,0.065832891,Bad Overlap
seq4_89-seq7_93,0.127333895,0.477279516,0.25798106,Bad Overlap
seq4_92-seq5_25,0.059017681,0.225688063,0.123720868,Bad Overlap
seq4_92-seq7_25,0.023896079,0.090584949,0.047868022,Bad Overlap
seq4_93-seq5_13,0.135163949,0.482538285,0.266598515,Bad Overlap
seq4_95-seq6_37,0.071006098,0.233948029,0.127567075,Bad Overlap
seq4_97-seq5_99,0.143242193,0.492676296,0,Bad Overlap
seq1_1-seq1_90,0.013874723,0.078602608,0.052036026,Good Overlap
seq1_2-seq4_84,0.079211101,0.298785252,0.182669887,Bad Overlap
seq1_3-seq9_70,0.051601258,0.185687114,0.100446971,Bad Overlap
seq1_4-seq1_95,0.03931445,0.175351491,0.114413618,Good Overlap
seq1_4-seq5_62,0.045212133,0.165788085,0.09875078,Bad Overlap
