KEY 	 ALPHA1 	 ALPHA2 	 GAPS 	 MATCHES 	 ALL 	 OVERLAP_TYPE 
origSeq_1-origSeq_192	0.13007021891780257	0.13168418882704597	0.013756387703479910555	0.080144703691759904986	0.052166513055037700706	Good Overlap
origSeq_1-origSeq_66	0.45710533994747593	0.4586061399679907	0.042659847106852322163	0.27810249653514364422	0.18115585744742593787	Good Overlap
origSeq_1-origSeq_124	0.13393730594189954	0.13404780130985797	0.0127584467885390095135	0.080038194887446187736	0.051339135606555862665	Good Overlap
origSeq_1-origSeq_89	0.4183604792031229	0.4178903408325475	0.040253399052040379815	0.2535010860060375296	0.1650776444634906096	Good Overlap
origSeq_1-origSeq_90	0.29888878336024316	0.29728700618752973	0.031306914961385302328	0.18006276588179283606	0.116369262551587192586	Good Overlap
origSeq_1-origSeq_70	0.4711077844311377	0.47087015126553844	0.048910398667446363318	0.28386663110094169807	0.18386886079386190903	Good Overlap
origSeq_1-origSeq_165	0.25254631486085494	0.2531452840772498	0.02463453255768201014	0.15061881552299230956	0.09621158206117219654	Good Overlap
origSeq_1-origSeq_153	0.43967566056200197	0.4393621485522451	0.045859294301553900433	0.26093667856060820206	0.16784920223069535374	Good Overlap
origSeq_1-origSeq_100	0.404807815914642	0.4031967001804589	0.044113255680457971724	0.24278323814271082704	0.15706401247769299716	Good Overlap
origSeq_1-origSeq_134	0.2844360086767896	0.28604923798358733	0.028837488844706066083	0.16700295390966691062	0.1056159375862221185	Good Overlap
origSeq_1-origSeq_104	0.7370023419203747	0.7374327799859715	0.074186657722428360054	0.43006583229611818653	0.27185675871025701268	Good Overlap
origSeq_1-origSeq_139	0.5075806451612903	0.5048653908530651	0.05123417797856497142	0.29728020449164649036	0.18839703882024179298	Good Overlap
origSeq_1-origSeq_86	0.990975935828877	0.9909729187562688	0.11128736439703035954	0.60793177889346298635	0.40081857170101693248	Good Overlap
origSeq_1-origSeq_181	0.5141409187510217	0.5109428994569689	0.051543090419712555076	0.3009820206675588571	0.19151587732302906407	Good Overlap
origSeq_1-origSeq_186	0.15886015974008394	0.15863236289776575	0.0153156113486066654265	0.09599114250781670827	0.062466687932851667236	Good Overlap
origSeq_1-origSeq_145	0.9765494137353434	0.9765297569153395	0.11233099717323530706	0.5963314220738916672	0.39149479471207091787	Good Overlap
origSeq_1-origSeq_45	0.17156208277703605	0.17036211699164344	0.018679706500107309884	0.10204216414487776358	0.06557822109468264582	Good Overlap
origSeq_1-origSeq_155	0.08363383311191244	0.08357585726939137	0.007087589199527085436	0.049910472589303741706	0.032068325374670459052	Good Overlap
origSeq_1-origSeq_53	0.9659574468085106	0.9664218258132214	0.10802463730081950512	0.54961015797968855055	0.33792812723153041118	Good Overlap
origSeq_1-origSeq_164	0.940677966101695	0.9422680412371134	0.100014601976914356314	0.50076824688638576165	0.2987729629421398359	Good Overlap
origSeq_2-origSeq_93	0.3136209403780902	0.3133713177354831	0.026871768713627327236	0.19426158980223225492	0.12883357293445101945	Good Overlap
origSeq_2-origSeq_68	0.6614052953156823	0.662007623888183	0.064680933313289734675	0.40538160080031053142	0.26649273833461975197	Good Overlap
origSeq_2-origSeq_80	0.12828805519620526	0.12772384034519957	0.0122590802181552011	0.077296661939399003174	0.05014394620842362218	Good Overlap
origSeq_2-origSeq_62	0.9721448467966574	0.9725274725274725	0.1170388103928498372	0.63430776079628597324	0.43713266082292243035	Good Overlap
origSeq_3-origSeq_51	0.6759406465288819	0.677733860342556	0.06025309661338133616	0.4195198964700552879	0.27538053960064537556	Good Overlap
origSeq_3-origSeq_73	0.6535513541134389	0.652752880921895	0.063789458818320846184	0.3991971700739283316	0.26174643750828965508	Good Overlap
origSeq_3-origSeq_34	0.9814200398142005	0.9813829787234043	0.091959462441794276374	0.6030318848021943654	0.39417504044380764883	Good Overlap
origSeq_3-origSeq_85	0.9301587301587302	0.9289558665231432	0.0860192836772070861	0.6070087774750166379	0.41592700146290221893	Good Overlap
origSeq_5-origSeq_95	0.0945765725716826	0.09628397115917915	0.01024647293829375943	0.06112621519207108817	0.041278747213193045956	Good Overlap
origSeq_5-origSeq_97	0.26216882316697476	0.2662377450980392	0.02503363038509966732	0.16190536615270039932	0.10552870293507850165	Good Overlap
origSeq_5-origSeq_60	0.1518418688230009	0.15153694049973035	0.01417776475931461024	0.092641248393434701764	0.060254204619769556964	Good Overlap
origSeq_5-origSeq_57	0.2136513575234712	0.2148467190271092	0.025064952017492331788	0.12884798039076064433	0.08289521301759752554	Good Overlap
origSeq_5-origSeq_82	0.09335963182117028	0.0944511327569224	0.010907690216399650612	0.055613069313522771737	0.035478696876427170193	Good Overlap
origSeq_5-origSeq_96	0.06872630475114948	0.06902669139585517	0.0071346295964593583125	0.04055859449349172041	0.02593115283922615844	Good Overlap
origSeq_5-origSeq_76	0.2957306490801805	0.2967071057192374	0.028496419026040871291	0.16759991017748279056	0.10356667646610863078	Good Overlap
origSeq_5-origSeq_59	0.02682344295425317	0.026376252182703796	0.002850440556999036075	0.016961424578714354162	0.011413011579696159445	Good Overlap
origSeq_6-origSeq_89	0.8331332533013205	0.8321256038647343	0.079702013619616680284	0.5326082786350901317	0.36250146894947920002	Good Overlap
origSeq_6-origSeq_90	0.28862549386566855	0.28415986608077004	0.030332346465654722574	0.1864372370750015754	0.12687178934550900424	Good Overlap
origSeq_6-origSeq_91	0.1113607188703466	0.11086136308902625	0.0102751332186025152625	0.0710436158582462376	0.04780034591548652833	Good Overlap
origSeq_6-origSeq_78	0.4352461586704296	0.43329137822529895	0.040562942614193867038	0.27791600364968727815	0.18826545120296471425	Good Overlap
origSeq_6-origSeq_83	0.8609271523178808	0.8574338085539714	0.076528412743387069904	0.5312698965937281875	0.34998349026153252036	Good Overlap
origSeq_6-origSeq_66	0.9594594594594594	0.9590163934426229	0.10059237162593260131	0.60401136346548325406	0.40426051990533811906	Good Overlap
origSeq_6-origSeq_70	0.9868421052631579	0.98659793814433	0.101845112640220310066	0.62431586640181926614	0.4194100984533663412	Good Overlap
origSeq_7-origSeq_82	0.26894041520625506	0.27071005917159763	0.024957058285571250273	0.1653154706217673859	0.10755854629850737259	Good Overlap
origSeq_7-origSeq_95	0.27287648748461224	0.27168105219893135	0.026014083811696184351	0.16387374031404929721	0.10625058678902761254	Good Overlap
origSeq_7-origSeq_96	0.1830841121495327	0.18186072631973044	0.017489156179766717371	0.111539911080662584605	0.073129807122887944904	Good Overlap
origSeq_7-origSeq_97	0.9923712650985378	0.9923027581783195	0.10193099238344461373	0.6009524815924796615	0.39082913161328674198	Good Overlap
origSeq_7-origSeq_76	0.9974093264248705	0.9974640743871513	0.098291874888484805684	0.6116838806367837953	0.40144192726935859296	Good Overlap
origSeq_7-origSeq_8	0.11242192921582235	0.11211384935786185	0.01253180165198287575	0.072099236061796086895	0.04887934063803984656	Good Overlap
origSeq_8-origSeq_82	0.7247255448140258	0.7252208047105005	0.070288715811410715226	0.458993301210474043	0.30898509311986987872	Good Overlap
origSeq_8-origSeq_96	0.4716719914802982	0.4711651209892336	0.046104413747297081397	0.29694983816403975688	0.19815902600367865958	Good Overlap
origSeq_8-origSeq_95	0.7364482873295644	0.736053288925895	0.070912811868529188916	0.45640061141133225262	0.30195109004240314359	Good Overlap
origSeq_8-origSeq_94	0.16607642124883504	0.16762790697674418	0.015476353444923732898	0.10493918015592593107	0.07010100925672254273	Good Overlap
origSeq_9-origSeq_93	0.6314572089437163	0.6372604818819958	0.055988619267205569962	0.3980946444536840229	0.26426319858349730466	Good Overlap
origSeq_10-origSeq_139	0.26165435966286266	0.26110323206688063	0.02534811283844973641	0.16563263569619706804	0.11144582960655607474	Good Overlap
origSeq_10-origSeq_140	0.46524841437632136	0.4668686602555658	0.04670670456788405356	0.28927941052421860714	0.19125522520767489727	Good Overlap
origSeq_10-origSeq_75	0.5863621207069023	0.58766827322586	0.056140327390332887574	0.36211390545516332842	0.23765867757478003009	Good Overlap
origSeq_10-origSeq_100	0.23362561445463	0.2317885204421361	0.020644049800044465578	0.14426586742195808186	0.09500802509815469101	Good Overlap
origSeq_10-origSeq_165	0.1781932411207377	0.1780683085030911	0.015736571884447397977	0.109542106579782472306	0.071770629876447531614	Good Overlap
origSeq_10-origSeq_134	0.19169346487164113	0.19089966719406404	0.017976277175354138584	0.119003664613315951067	0.078829030831415515705	Good Overlap
origSeq_10-origSeq_127	0.8081341911764706	0.8068470969234328	0.08052777600661148275	0.49570708793902833224	0.32409387222042207653	Good Overlap
origSeq_10-origSeq_133	0.994210847044485	0.9941789215686274	0.10028399295659377602	0.62626574406907282256	0.41929341846576726035	Good Overlap
origSeq_10-origSeq_177	0.80897583429229	0.808579335793358	0.07739698354965775562	0.49546653531326758803	0.32493367378426399623	Good Overlap
