KEY 	 ALPHA1 	 ALPHA2 	 GAPS 	 MATCHES 	 ALL 	 OVERLAP_TYPE 
seq9_1-seq9_190	0.42129384805217696	0.42504378283712785	0.048138034946272819725	0.26396360149550922961	0.17444646808815781559	Good Overlap
seq9_1-seq9_105	0.6877697841726619	0.6907069555302167	0.07713614986114685633	0.4341289196510059852	0.29063161759479653334	Good Overlap
seq9_1-seq9_141	0.10007118033747854	0.10146321070234114	0.012422934971848173011	0.063485186015313568674	0.042576241394851206386	Good Overlap
seq9_1-seq9_186	0.29601189001733963	0.29835822737933587	0.035774664273351010886	0.18651155178401607644	0.12486289925138299916	Good Overlap
seq9_1-seq9_83	0.5274773780622379	0.5290365156181258	0.064317014705565513304	0.32967386580700210895	0.21930856392379798578	Good Overlap
seq9_1-seq9_191	0.060735432390536456	0.06154627396216834	0.0071797065312670027674	0.03763798214792426162	0.02459683269816288327	Good Overlap
seq9_1-seq9_194	0.14800594500866981	0.1502686677783954	0.016628059702507071202	0.091729879035624473735	0.060225406341665316192	Good Overlap
seq9_1-seq9_33	0.596903096903097	0.599304865938431	0.0665868078352065943	0.36631308474032038384	0.24102164067886125664	Good Overlap
seq9_1-seq9_158	0.7984038861901457	0.8012316113581937	0.08357555322748417987	0.49208912935934685163	0.32484875177181263465	Good Overlap
seq9_1-seq9_39	0.9435452033162258	0.943921568627451	0.10570060084611434396	0.5760571170583205151	0.38041175826234579845	Good Overlap
seq9_1-seq9_180	0.16180353395166205	0.16186027619821283	0.019227663325680587074	0.09818920160877963557	0.06413170944452475651	Good Overlap
seq9_1-seq9_119	0.6450742240215924	0.6462200699488835	0.074680111823802423985	0.3816318072541643682	0.24419391371796941489	Good Overlap
seq9_1-seq9_5	0.21696733300828863	0.21524554116784755	0.021564369554657043492	0.13769689830772753147	0.09334108251258478682	Good Overlap
seq9_1-seq9_14	0.2641318977119785	0.26758204956463494	0.029186953109328941145	0.16986577622877605181	0.11449162638157164836	Good Overlap
seq9_1-seq9_73	0.9951749095295537	0.9951338199513382	0.12557631684411351733	0.6030333884603463636	0.39465134682847892032	Good Overlap
seq9_1-seq9_71	0.1551047120418848	0.15620915032679739	0.018403142505386414569	0.1005833970557950744	0.06852939808081282452	Good Overlap
seq9_1-seq9_163	0.06499151823579305	0.0654869132139451	0.0075744327381817996096	0.041238574347112493665	0.02739226011458385214	Good Overlap
seq9_1-seq9_146	0.9985052316890882	0.9984779299847792	0.12755742975311734886	0.57207991888880688197	0.35640028762557430297	Good Overlap
seq9_1-seq9_15	0.18818681318681318	0.1889295516925892	0.025145460159610522238	0.12489146991489982951	0.08730183888282790331	Good Overlap
seq9_1-seq9_3	0.12190020914251569	0.12268656716417911	0.011134442197680657253	0.07598336548387459285	0.050550617051527321392	Good Overlap
seq9_2-seq9_42	0.2964660936007641	0.30087319665907364	0.03217243656430448388	0.1804035516411507508	0.11561012738537538322	Good Overlap
seq9_2-seq9_66	0.24923719286976073	0.25223928342930263	0.030112941059987685449	0.14987191802405344016	0.0955040906161762775	Good Overlap
seq9_2-seq9_62	0.9819168173598554	0.9819819819819819	0.116002474586195741795	0.5794078849590873658	0.36692772403602021887	Good Overlap
seq9_2-seq9_76	0.05632273079906905	0.056542309780501045	0.0049806517620945242653	0.033002895549954759027	0.020809988265349534953	Good Overlap
seq9_3-seq9_5	0.6443108233117484	0.6409897292250234	0.0727911615097439181	0.41806944531909026103	0.28680567370163979118	Good Overlap
seq9_3-seq9_33	0.6677852348993288	0.6619512195121952	0.08438755009100441714	0.41783535704242463676	0.27652041491599405504	Good Overlap
seq9_3-seq9_83	0.5344827586206896	0.5281553398058253	0.06381164211861710056	0.33191893269533236997	0.22157892809006701362	Good Overlap
seq9_3-seq9_71	0.5205530642750373	0.5108654212733511	0.060169876259040357137	0.3172071143137094041	0.20683969433269870689	Good Overlap
seq9_3-seq9_34	0.31661351116265585	0.3142275240034914	0.03333117038421546654	0.20143275053357223593	0.13499885981912473578	Good Overlap
seq9_3-seq9_39	0.9913793103448276	0.991166077738516	0.110251886362518658294	0.62243732217000970143	0.415184189889318477	Good Overlap
seq9_3-seq9_78	0.18237885462555067	0.17657497781721385	0.018924775219144913923	0.11322536105933799537	0.074358282468576190725	Good Overlap
seq9_4-seq9_95	0.30619421152285636	0.30581867388362655	0.032793716736856936297	0.19299862606449765674	0.1287376751216479316	Good Overlap
seq9_4-seq9_52	0.46521202140798684	0.46054817275747506	0.058408550111049441626	0.30109655230194902646	0.20508325437466294819	Good Overlap
