KEY 	 ALPHA1 	 ALPHA2 	 GAPS 	 MATCHES 	 ALL 	 OVERLAP_TYPE 
seq9_1-seq9_190	0.41413963328631875	0.4184459222961148	0.04200917336608484791	0.26061824853420191548	0.17263794127538824929	Good Overlap
seq9_1-seq9_105	0.6770472895040369	0.6809116809116809	0.067455455561364484887	0.4291364991647028554	0.2876809026120597414	Good Overlap
seq9_1-seq9_141	0.09897839557863004	0.100259218998244	0.0106645970553028089265	0.062476827399285194138	0.041705551112527300524	Good Overlap
seq9_1-seq9_186	0.2924563359345968	0.2950758978156238	0.030570477148560513495	0.18367062042345713279	0.12231320049304034224	Good Overlap
seq9_1-seq9_83	0.5264900662251656	0.5282603914669013	0.056202874900731097713	0.32675277551823232448	0.21583527691634631055	Good Overlap
seq9_1-seq9_191	0.06030495552731893	0.06121153650858129	0.006305277227589385091	0.037372414633649529162	0.024369791928800573614	Good Overlap
seq9_1-seq9_194	0.14696228401560663	0.14943806348030134	0.014609969057879855782	0.09095754747585990013	0.05952585957125586922	Good Overlap
seq9_1-seq9_33	0.5958031476392706	0.5985111662531017	0.059088169891914409805	0.36323814963402960044	0.23739283555514018194	Good Overlap
seq9_1-seq9_158	0.7897667942916812	0.793362983236401	0.073477755857607882615	0.48500584521285679647	0.31864222323517530183	Good Overlap
seq9_1-seq9_39	0.9229553536151719	0.9234393404004712	0.09339980058730898855	0.56661414454637062173	0.3754775632532915516	Good Overlap
seq9_1-seq9_180	0.15772721116077476	0.15824027072758037	0.016175341639064189554	0.096393984601329123574	0.06311042772083036326	Good Overlap
seq9_1-seq9_119	0.6281393464758304	0.6298387096774194	0.063521408489605382213	0.37523973110860210002	0.24156585866342469093	Good Overlap
seq9_1-seq9_5	0.21628871007071446	0.21475690202785244	0.019169472723079504135	0.1365893938668468972	0.09212565674858018244	Good Overlap
seq9_1-seq9_14	0.2603570225665207	0.26456798392498326	0.026302769454327800994	0.16869370575600048151	0.11397217261973569345	Good Overlap
seq9_1-seq9_73	0.9613992762364294	0.961352657004831	0.10378215425023422052	0.5871054418203458261	0.38483816748445605962	Good Overlap
seq9_1-seq9_71	0.1449148843299869	0.14640522875816994	0.014490823767334353823	0.09567061539936236487	0.06584880008245191242	Good Overlap
seq9_1-seq9_163	0.06267232237539767	0.06336759563420578	0.006181682916050138882	0.04019666513158055328	0.0268436646948582761	Good Overlap
seq9_1-seq9_146	0.9103139013452914	0.9088145896656535	0.099458247697686728824	0.5422859462575599765	0.34654237972345553595	Good Overlap
seq9_1-seq9_15	0.18818681318681318	0.1889295516925892	0.021391775766943463546	0.123439110865379802825	0.08541790194958309259	Good Overlap
seq9_1-seq9_3	0.12190020914251569	0.12268656716417911	0.010190641699592623741	0.075441987653882007294	0.049886104730985367474	Good Overlap
seq9_2-seq9_42	0.2928598701794578	0.2968868640850418	0.028898808889659131185	0.17825180531456181445	0.114381864362065679206	Good Overlap
