KEY 	 READ1_LENGTH 	 READ1_START 	 READ1_END 	 READ1_OVL_LEN 	 READ2_LENGTH 	 READ2_START 	 READ2_END 	 READ2_OVL_LEN 	 MATCHES 	 INSERTIONS 	 DELETIONS 
origSeq_1-origSeq_192	3177	2	3151	3149	47088	21035	24229	3194	2991	158	203
origSeq_1-origSeq_66	3177	8	3141	3133	12390	3685	6837	3152	2946	187	206
origSeq_1-origSeq_124	3177	2	3151	3149	26618	20336	23488	3152	2974	175	178
origSeq_1-origSeq_89	3177	2	3110	3108	17466	4254	7356	3102	2918	190	184
origSeq_1-origSeq_90	3177	2	3149	3147	14077	7354	10477	3123	2955	192	168
origSeq_1-origSeq_70	3177	2	3149	3147	8278	3505	6649	3144	2954	193	190
origSeq_1-origSeq_165	3177	2	3151	3149	22641	9294	12453	3159	2970	179	189
origSeq_1-origSeq_153	3177	4	3149	3145	8559	3980	7121	3141	2941	204	200
origSeq_1-origSeq_100	3177	2	3151	3149	16312	4604	7732	3128	2938	211	190
origSeq_1-origSeq_134	3177	2	3149	3147	18418	7889	11061	3172	2966	181	206
origSeq_1-origSeq_104	3177	2	3149	3147	4949	1095	4249	3154	2960	187	194
origSeq_1-origSeq_139	3177	2	3149	3147	15013	3025	6138	3113	2941	206	172
origSeq_1-origSeq_86	3177	186	3151	2965	3221	1	2965	2964	2763	202	201
origSeq_1-origSeq_181	3177	6	3151	3145	11249	2946	6051	3105	2914	231	191
origSeq_1-origSeq_186	3177	11	2358	2347	13958	11608	13951	2343	2203	144	140
origSeq_1-origSeq_145	3177	817	3149	2332	2575	28	2358	2330	2184	148	146
origSeq_1-origSeq_45	3177	2	1544	1542	7344	5813	7342	1529	1441	101	88
origSeq_1-origSeq_155	3177	43	1365	1322	14003	12673	13994	1321	1246	76	75
origSeq_1-origSeq_53	3177	2243	3151	908	5003	6	927	921	862	46	59
origSeq_1-origSeq_164	3177	2707	3151	444	4943	2	459	457	417	27	40
origSeq_2-origSeq_93	2612	17	2605	2588	11829	5657	8242	2585	2436	152	149
origSeq_2-origSeq_68	2612	4	2602	2598	6602	1320	3925	2605	2449	149	156
origSeq_2-origSeq_80	2612	4	1194	1190	7860	6668	7852	1184	1119	71	65
origSeq_2-origSeq_62	2612	2253	2602	349	1217	0	354	354	334	15	20
origSeq_3-origSeq_51	2584	10	2561	2551	3798	1200	3772	2572	2440	111	132
origSeq_3-origSeq_73	2584	3	2561	2558	12487	1333	3882	2549	2401	157	148
origSeq_3-origSeq_34	2584	1082	2561	1479	5805	5	1481	1476	1401	78	75
origSeq_3-origSeq_85	2584	1662	2541	879	939	23	886	863	825	54	38
origSeq_5-origSeq_95	860	1	852	851	11131	8139	9007	868	809	42	59
origSeq_5-origSeq_97	860	1	852	851	5262	2387	3256	869	814	37	55
origSeq_5-origSeq_60	860	7	852	845	12013	4712	5555	843	795	50	48
origSeq_5-origSeq_57	860	0	842	842	7337	3081	3929	848	800	42	48
origSeq_5-origSeq_82	860	0	852	852	11561	8266	9129	863	806	46	57
origSeq_5-origSeq_96	860	0	852	852	19709	11537	12393	856	800	52	56
origSeq_5-origSeq_76	860	0	852	852	7647	2021	2877	856	797	55	59
origSeq_5-origSeq_59	860	8	300	292	10331	10034	10321	287	275	17	12
origSeq_6-origSeq_89	1395	0	1388	1388	17466	271	1649	1378	1315	73	63
origSeq_6-origSeq_90	1395	0	1388	1388	14077	3414	4772	1358	1309	79	49
origSeq_6-origSeq_91	1395	0	1388	1388	12771	11069	12450	1381	1319	69	62
origSeq_6-origSeq_78	1395	0	1388	1388	5526	1794	3171	1377	1304	84	73
origSeq_6-origSeq_83	1395	0	1300	1300	1434	115	1378	1263	1212	88	51
origSeq_6-origSeq_66	1395	289	1354	1065	12390	4	1057	1053	1002	63	51
origSeq_6-origSeq_70	1395	413	1388	975	8278	6	963	957	912	63	45
origSeq_7-origSeq_82	1999	1	1996	1995	11561	5420	7433	2013	1908	87	105
origSeq_7-origSeq_95	1999	1	1996	1995	11131	5313	7296	1983	1871	124	112
origSeq_7-origSeq_96	1999	2	1961	1959	19709	8703	10646	1943	1825	134	118
origSeq_7-origSeq_97	1999	426	1987	1561	5262	0	1547	1547	1463	98	84
origSeq_7-origSeq_76	1999	841	1996	1155	7647	0	1180	1180	1100	55	80
origSeq_7-origSeq_8	1999	1	649	648	4447	3766	4412	646	615	33	31
origSeq_8-origSeq_82	4447	3	4426	4423	11561	1659	6093	4434	4190	233	244
origSeq_8-origSeq_96	4447	6	4435	4429	19709	4949	9369	4420	4200	229	220
origSeq_8-origSeq_95	4447	6	4435	4429	11131	1573	5993	4420	4174	255	246
origSeq_8-origSeq_94	4447	6	897	891	1837	924	1825	901	846	45	55
origSeq_9-origSeq_93	3402	119	3395	3276	11829	1905	5264	3359	3130	146	229
origSeq_10-origSeq_139	3535	9	3517	3508	15013	9881	13379	3498	3315	193	183
origSeq_10-origSeq_140	3535	0	3521	3521	13483	4033	7577	3544	3343	178	201
origSeq_10-origSeq_75	3535	0	3517	3517	7594	2463	5999	3536	3344	173	192
origSeq_10-origSeq_100	3535	0	3517	3517	16312	11519	15000	3481	3313	204	168
origSeq_10-origSeq_165	3535	0	3517	3517	22641	16202	19716	3514	3325	192	189
origSeq_10-origSeq_134	3535	0	3517	3517	18418	14812	18311	3499	3315	202	184
origSeq_10-origSeq_127	3535	0	3517	3517	16943	817	4305	3488	3323	194	165
origSeq_10-origSeq_133	3535	254	3517	3263	17758	1	3246	3245	3087	176	158
origSeq_10-origSeq_177	3535	2	3517	3515	9902	812	4318	3506	3321	194	185
origSeq_10-origSeq_89	3535	0	3517	3517	17466	11191	14679	3488	3312	205	176
origSeq_10-origSeq_167	3535	0	3526	3526	12915	3280	6788	3508	3321	205	187
origSeq_10-origSeq_169	3535	268	3521	3253	18645	0	3247	3247	3063	190	184
origSeq_10-origSeq_192	3535	0	3517	3517	47088	27991	31445	3454	3265	252	189
origSeq_10-origSeq_101	3535	634	3521	2887	10048	3	2856	2853	2714	173	139
origSeq_10-origSeq_54	3535	1109	3142	2033	2031	3	2026	2023	1918	115	105
origSeq_10-origSeq_66	3535	0	1793	1793	12390	10594	12359	1765	1668	125	97
origSeq_10-origSeq_98	3535	1680	3526	1846	2007	0	1837	1837	1741	105	96
origSeq_10-origSeq_25	3535	1751	3512	1761	3903	0	1765	1765	1661	100	104
