KEY , ALPHA1 , ALPHA2 , GAPS , MATCHES , ALL , OVERLAP_TYPE 
origSeq_105-origSeq_65,1,1,0.098159015,0.578135752,0.363291941,Good Overlap
origSeq_109-origSeq_97,1,1,0.103660735,0.579095032,0.363012273,Good Overlap
origSeq_173-origSeq_184,1,1,0.099918713,0.57980907,0.368652184,Good Overlap
origSeq_164-origSeq_169,1,1,0.098079108,0.581851564,0.372235853,Good Overlap
origSeq_183-origSeq_184,1,1,0.086978434,0.585571465,0.367234625,Good Overlap
origSeq_117-origSeq_91,1,1,0.089309316,0.59249245,0.378526748,Good Overlap
origSeq_180-origSeq_97,1,1,0.092078911,0.593229806,0.381623813,Good Overlap
origSeq_108-origSeq_91,1,1,0.085332826,0.59434763,0.380265269,Good Overlap
origSeq_176-origSeq_42,1,1,0.104344855,0.594613647,0.381580532,Good Overlap
origSeq_63-origSeq_80,1,1,0.089926531,0.595401972,0.383496542,Good Overlap
origSeq_103-origSeq_25,1,1,0.082494058,0.596383142,0.382456699,Good Overlap
origSeq_125-origSeq_91,1,1,0.085677435,0.596452123,0.381393973,Good Overlap
origSeq_109-origSeq_76,1,1,0.107063138,0.596612804,0.383684841,Good Overlap
origSeq_162-origSeq_191,1,1,0.093994501,0.596871897,0.384682349,Good Overlap
origSeq_43-origSeq_91,1,1,0.089821708,0.5970686,0.383769528,Good Overlap
origSeq_17-origSeq_80,1,1,0.10477486,0.597191561,0.385427648,Good Overlap
origSeq_173-origSeq_59,1,1,0.071357949,0.597364738,0.382785515,Good Overlap
origSeq_134-origSeq_22,1,1,0.098707992,0.598048228,0.390810455,Good Overlap
origSeq_24-origSeq_85,1,1,0.081237121,0.598697856,0.384720543,Good Overlap
origSeq_7-origSeq_97,1,1,0.099515066,0.599062253,0.386272492,Good Overlap
origSeq_57-origSeq_76,1,1,0.093304278,0.60047317,0.388237649,Good Overlap
origSeq_152-origSeq_42,1,1,0.097419736,0.600540975,0.388750587,Good Overlap
origSeq_111-origSeq_68,1,1,0.100211142,0.600678575,0.386475965,Good Overlap
origSeq_122-origSeq_130,1,1,0.110168829,0.601359059,0.390836122,Good Overlap
origSeq_27-origSeq_91,1,1,0.088581271,0.601961608,0.390210074,Good Overlap
origSeq_10-origSeq_25,1,1,0.097679863,0.602237197,0.389470783,Good Overlap
origSeq_164-origSeq_31,1,1,0.07983224,0.602898078,0.389139185,Good Overlap
origSeq_140-origSeq_167,1,1,0.090669886,0.603180347,0,Good Overlap
origSeq_10-origSeq_98,1,1,0.098155929,0.60320248,0.390200409,Good Overlap
origSeq_34-origSeq_48,1,1,0.087355286,0.603316315,0.390281252,Good Overlap
origSeq_137-origSeq_24,1,1,0.088331879,0.604364572,0.392329421,Good Overlap
origSeq_191-origSeq_80,1,1,0.08648966,0.604543001,0.392634369,Good Overlap
origSeq_141-origSeq_27,1,1,0.092946474,0.604565666,0.391593697,Good Overlap
origSeq_152-origSeq_80,1,1,0.087678043,0.605128287,0.392403728,Good Overlap
origSeq_153-origSeq_181,1,1,0.088377741,0.60546358,0.393597357,Good Overlap
origSeq_116-origSeq_80,1,1,0.089258186,0.605626043,0.3941587,Good Overlap
origSeq_164-origSeq_167,1,1,0.088357334,0.606449372,0.393884965,Good Overlap
origSeq_17-origSeq_42,1,1,0.102397793,0.606951596,0.396029111,Good Overlap
origSeq_74-origSeq_80,1,1,0.094063051,0.606975472,0.397368674,Good Overlap
origSeq_124-origSeq_181,1,1,0.088751912,0.607015187,0.395752661,Good Overlap
origSeq_37-origSeq_93,1,1,0.089276173,0.607465436,0.395161589,Good Overlap
origSeq_188-origSeq_91,1,1,0.091505175,0.607723001,0.395371702,Good Overlap
origSeq_87-origSeq_89,1,1,0.075677018,0.608267824,0.395448905,Good Overlap
origSeq_177-origSeq_73,1,1,0.081221533,0.608536915,0.39583086,Good Overlap
origSeq_114-origSeq_91,1,1,0.090600513,0.608612625,0.396578518,Good Overlap
origSeq_127-origSeq_48,1,1,0.094180566,0.608973733,0.397302368,Good Overlap
origSeq_165-origSeq_167,1,1,0.090486994,0.609232027,0.396652236,Good Overlap
origSeq_35-origSeq_78,1,1,0.088741364,0.609428215,0.39678982,Good Overlap
origSeq_40-origSeq_49,1,1,0.086673847,0.609435147,0.398803183,Good Overlap
origSeq_127-origSeq_169,1,1,0.092920112,0.609663841,0,Good Overlap
origSeq_100-origSeq_25,1,1,0.085792598,0.609672051,0.398412326,Good Overlap
origSeq_7-origSeq_76,1,1,0.09623183,0.609735871,0.398434008,Good Overlap
origSeq_108-origSeq_27,1,1,0.089844158,0.609947499,0.398384714,Good Overlap
origSeq_156-origSeq_42,1,1,0.100242843,0.610076023,0.402938776,Good Overlap
origSeq_139-origSeq_169,1,1,0.090973402,0.61010672,0.399007195,Good Overlap
origSeq_46-origSeq_80,1,1,0.090097786,0.610186703,0.399653398,Good Overlap
origSeq_48-origSeq_71,1,1,0.092558578,0.610292865,0.397710163,Good Overlap
origSeq_184-origSeq_76,1,1,0.097027633,0.610495333,0.399303354,Good Overlap
origSeq_112-origSeq_95,1,1,0.083114212,0.610520202,0.397522956,Good Overlap
origSeq_192-origSeq_48,1,1,0.091373406,0.611146032,0.400658035,Good Overlap
origSeq_112-origSeq_184,1,1,0.09007666,0.611519405,0.399011428,Good Overlap
origSeq_174-origSeq_76,1,1,0.092120438,0.611686997,0.401180316,Good Overlap
origSeq_169-origSeq_48,1,1,0.091876458,0.611770822,0.400355814,Good Overlap
origSeq_151-origSeq_93,1,1,0.090939258,0.612429784,0.40090134,Good Overlap
origSeq_108-origSeq_117,1,1,0.094126088,0.612599028,0.400562046,Good Overlap
origSeq_134-origSeq_167,1,1,0.091726169,0.613307343,0.402367798,Good Overlap
origSeq_10-origSeq_169,1,1,0.090182397,0.613348112,0.404229473,Good Overlap
origSeq_140-origSeq_169,1,1,0.090967122,0.613694595,0.401859406,Good Overlap
origSeq_56-origSeq_65,1,1,0.089005979,0.613910892,0.403996015,Good Overlap
origSeq_47-origSeq_93,1,1,0.088189557,0.613976592,0.403123997,Good Overlap
origSeq_100-origSeq_89,1,1,0.090673298,0.613988591,0,Good Overlap
origSeq_165-origSeq_169,1,1,0.08904955,0.614018556,0.402527412,Good Overlap
origSeq_123-origSeq_76,1,1,0.09782902,0.61403102,0.403761419,Good Overlap
origSeq_133-origSeq_169,1,1,0.090231302,0.615147854,0,Good Overlap
origSeq_112-origSeq_191,1,1,0.094206319,0.61522871,0.404758597,Good Overlap
origSeq_182-origSeq_184,1,1,0.094907156,0.615254162,0.405533959,Good Overlap
origSeq_101-origSeq_158,1,1,0.088396652,0.615269696,0.404751231,Good Overlap
origSeq_124-origSeq_89,1,1,0.091514812,0.615759429,0.405103221,Good Overlap
origSeq_74-origSeq_93,1,1,0.08785939,0.616088226,0.405211235,Good Overlap
origSeq_116-origSeq_42,1,1,0.098513696,0.616100783,0.407576132,Good Overlap
origSeq_133-origSeq_48,1,1,0.096190474,0.617758624,0.406938199,Good Overlap
origSeq_42-origSeq_80,1,1,0.090496572,0.618139211,0.409687259,Good Overlap
origSeq_187-origSeq_56,1,1,0.11184617,0.61839895,0.411275537,Good Overlap
origSeq_13-origSeq_91,1,1,0.092689286,0.618686587,0.407873061,Good Overlap
origSeq_100-origSeq_127,1,1,0.09207546,0.618707621,0.409024414,Good Overlap
origSeq_134-origSeq_25,1,1,0.092606756,0.618819,0.406292176,Good Overlap
origSeq_35-origSeq_45,1,1,0.088236049,0.618883675,0.408334232,Good Overlap
origSeq_134-origSeq_89,1,1,0.094609701,0.619131658,0,Good Overlap
origSeq_123-origSeq_152,1,1,0.085535635,0.619684033,0.410278804,Good Overlap
origSeq_38-origSeq_95,1,1,0.085029295,0.61968669,0.409958049,Good Overlap
origSeq_50-origSeq_93,1,1,0.091859101,0.619960651,0.409304666,Good Overlap
origSeq_41-origSeq_82,1,1,0.096155836,0.620108318,0.410276598,Good Overlap
origSeq_45-origSeq_89,1,1,0.093717645,0.620127857,0.409557736,Good Overlap
origSeq_186-origSeq_89,1,1,0.091997218,0.620204716,0.410189887,Good Overlap
origSeq_80-origSeq_93,1,1,0.092632717,0.620256699,0.409988897,Good Overlap
origSeq_59-origSeq_97,1,1,0.096424401,0.620304621,0.409834961,Good Overlap
origSeq_129-origSeq_93,1,1,0.091391097,0.620794633,0.409807987,Good Overlap
origSeq_28-origSeq_90,1,1,0.100680243,0.621017421,0.408183078,Good Overlap
origSeq_109-origSeq_123,1,1,0.089717511,0.621069928,0.414140665,Good Overlap
origSeq_182-origSeq_95,1,1,0.084765673,0.621140419,0.411933653,Good Overlap
origSeq_182-origSeq_59,1,1,0.092058135,0.621440807,0.411546545,Good Overlap
origSeq_14-origSeq_80,1,1,0.096496136,0.621783754,0.414575329,Good Overlap
origSeq_46-origSeq_93,1,1,0.086985919,0.622655401,0.413147653,Good Overlap
origSeq_107-origSeq_93,1,1,0.089713921,0.622799725,0.413080026,Good Overlap
origSeq_124-origSeq_167,1,1,0.097654946,0.623380797,0.412797823,Good Overlap
origSeq_131-origSeq_71,1,1,0.089761024,0.623702932,0.414270255,Good Overlap
origSeq_37-origSeq_81,1,1,0.0932367,0.62437036,0.41325995,Good Overlap
origSeq_154-origSeq_184,1,1,0.096065163,0.625322963,0.416892318,Good Overlap
origSeq_78-origSeq_89,1,1,0.089331695,0.625331834,0.417102315,Good Overlap
origSeq_168-origSeq_85,1,1,0.108471002,0.62577744,0.412364912,Good Overlap
origSeq_120-origSeq_48,1,1,0.095978133,0.626261556,0.417374572,Good Overlap
origSeq_139-origSeq_22,1,1,0.095757286,0.62655138,0.414556445,Good Overlap
origSeq_38-origSeq_82,1,1,0.089569381,0.62684422,0.418096625,Good Overlap
origSeq_171-origSeq_71,1,1,0.085337136,0.627039052,0.417294517,Good Overlap
origSeq_38-origSeq_59,1,1,0.091133466,0.627971933,0.419832319,Good Overlap
origSeq_190-origSeq_92,1,1,0.098535851,0.629500739,0.415422744,Good Overlap
origSeq_116-origSeq_58,1,1,0.088092526,0.629715039,0.421763431,Good Overlap
origSeq_155-origSeq_89,1,1,0.096638703,0.630355552,0.423734124,Good Overlap
origSeq_139-origSeq_158,1,1,0.093341401,0.630601427,0.419707274,Good Overlap
origSeq_39-origSeq_92,1,1,0.136036207,0.633244704,0.420462236,Good Overlap
origSeq_159-origSeq_48,1,1,0.097313511,0.634103306,0.427203728,Good Overlap
origSeq_2-origSeq_62,1,1,0.114136911,0.63482779,0.428816445,Good Overlap
origSeq_133-origSeq_71,1,1,0.07930538,0.636525252,0.429049775,Good Overlap
origSeq_35-origSeq_89,1,1,0.094198836,0.644545264,0.438810591,Good Overlap
origSeq_141-origSeq_91,1,1,0.093595665,0.645114158,0.44028613,Good Overlap
