KEY , ALPHA1 , ALPHA2 , GAPS , MATCHES , ALL , OVERLAP_TYPE ,R1L,R1S,R1E,R2L,R2S,R2E
seq2_97-seq7_71,0.021912447,0.021865185,0.001985505,0.011077293,0.006115389,Bad Overlap,29541,4,911,12767,11855,12760
seq1_58-seq6_84,0.030061236,0.030421072,0.003024918,0.016533807,0.009753617,Bad Overlap,8826,2,488,7915,7343,7835
seq1_66-seq1_86,0.031104827,0.031496063,0.002507442,0.02083575,0.014354894,Good Overlap,476,9,471,17863,14386,14854
seq1_81-seq5_63,0.032284598,0.032204993,0.002902263,0.016488894,0.009333731,Bad Overlap,15212,5,790,9910,9108,9891
seq1_29-seq4_85,0.032766861,0.033331564,0.003477104,0.018934713,0.011481533,Bad Overlap,9177,1,618,10297,9654,10282
seq2_59-seq8_69,0.04192758,0.04192758,0.004092529,0.020066359,0.010606316,Bad Overlap,8195,2,926,14866,13845,14769
seq1_31-seq4_63,0.044113246,0.042852862,0.003752604,0.024035611,0.014354504,Bad Overlap,9384,6,743,8055,7329,8044
origSeq_17-seq5_63,0.044451956,0.043320078,0.00432002,0.023287568,0.013282692,Bad Overlap,2444,0,526,9910,9389,9901
seq7_86-seq7_94,0.045638842,0.045963896,0.003800546,0.028866333,0.019235481,Good Overlap,22920,1,2680,38487,35781,38480
seq10_21-seq1_76,0.045736393,0.046494387,0.003589698,0.023161243,0.012738362,Bad Overlap,3571,2,865,16207,15300,16178
seq3_7-seq5_99,0.047047405,0.047825643,0.004737023,0.023461049,0.012831206,Bad Overlap,936,0,921,37031,18640,19577
seq3_48-seq5_17,0.051301982,0.052627494,0.004210101,0.02769175,0.015931799,Bad Overlap,6991,0,660,6555,5874,6552
origSeq_37-seq6_91,0.055425904,0.056587893,0.004394091,0.029738691,0.016960553,Bad Overlap,875,10,865,20251,14561,15435
seq2_89-seq4_51,0.056043011,0.056043011,0.005679554,0.030254073,0.017972526,Bad Overlap,22066,2,1305,2498,1186,2489
seq2_44-seq3_39,0.057094952,0.055761753,0.005652142,0.030273748,0.017530849,Bad Overlap,8615,2,649,3358,2719,3350
origSeq_97-seq2_15,0.057618197,0.058149366,0.005648071,0.035938839,0.023545836,Bad Overlap,19552,8917,9530,630,4,623
seq6_50-seq6_91,0.05790099,0.056630711,0.004975867,0.034464347,0.022101236,Good Overlap,743,0,731,20251,11882,12596
seq3_69-seq7_67,0.058345358,0.058617042,0.00563086,0.028424827,0.01547765,Bad Overlap,10880,6,1219,11144,9916,11135
seq2_84-seq4_74,0.060116716,0.059515239,0.004947046,0.032148655,0.018831404,Bad Overlap,11091,3,755,2171,1421,2165
seq4_35-seq4_97,0.069214255,0.068974403,0.006865979,0.043231683,0.029074335,Good Overlap,818,2,808,20041,10829,11632
origSeq_87-seq9_87,0.072316444,0.072658348,0.006385966,0.035169314,0.018874072,Bad Overlap,10758,1,1374,9615,8229,9609
