KEY , ALPHA1 , ALPHA2 , GAPS , MATCHES , ALL , OVERLAP_TYPE 
seq5_75-seq7_89,0.576127096,0.573188209,0.087623964,0,0,Bad Overlap
seq5_77-seq7_91,0.581964862,0.581138854,0.090276697,0,0,Bad Overlap
seq5_77-seq9_98,0.70130032,0.700940022,0.091481291,0,0,Bad Overlap
seq5_100-seq7_94,0.998186963,0.998205644,0.088212194,0,0,Bad Overlap
seq1_86-seq7_85,0.998798696,0.998802532,0.091692838,0,0,Bad Overlap
seq10_69-seq7_84,0.998661611,0.998670704,0.089409153,0,0,Bad Overlap
seq10_81-seq8_82,0.998021464,0.998025962,0.084822854,0,0,Bad Overlap
seq10_83-seq9_99,0.969879145,0.970055453,0.087364945,0,0,Bad Overlap
seq10_94-seq3_87,0.806202323,0.807154197,0.090902405,0,0,Bad Overlap
seq6_92-seq7_83,0.979003181,0.978904752,0.08555099,0,0,Bad Overlap
seq2_95-seq4_98,0.99964817,0.999648647,0.090241005,0,0,Bad Overlap
seq2_96-seq7_92,0.873034778,0.873807752,0.091579553,0,0,Bad Overlap
seq1_66-seq1_86,0.031104827,0.031496063,0.07961128,0.661535067,0.455767871,Good Overlap
origSeq_99-seq9_99,0.532319966,0.532753161,0.087310129,0,0,Bad Overlap
seq7_90-seq9_78,0.986959907,0.987006271,0.086898725,0,0,Bad Overlap
seq7_91-seq9_98,0.997939914,0.997947753,0.088531309,0,0,Bad Overlap
seq10_18-seq7_84,0.928039216,0.928487919,0.090364384,0.377490495,0.167671727,Bad Overlap
seq10_90-seq8_88,0.243243243,0.242886753,0.086661555,0.38617128,0.172529923,Bad Overlap
seq10_65-seq9_93,0.363226396,0.361549908,0.085101438,0.387822324,0.175717855,Bad Overlap
seq10_86-seq7_31,0.222097156,0.220897116,0.091037425,0.390313609,0.175821383,Bad Overlap
seq10_77-seq6_12,0.282986896,0.283148859,0.084714672,0.391158676,0.179157168,Bad Overlap
seq10_72-seq7_56,0.974546371,0.974718398,0.087871602,0.391470885,0.180185455,Bad Overlap
seq10_79-seq9_66,0.496620755,0.493936527,0.0852171,0.394245505,0.18117645,Bad Overlap
seq7_58-seq9_68,0.915388121,0.916000603,0.088917143,0.395327551,0.181496467,Bad Overlap
seq10_47-seq7_89,0.459289312,0.457619983,0.083162125,0.395393357,0.183847285,Bad Overlap
