KEY 	 READ1_LENGTH 	 READ1_START 	 READ1_END 	 READ1_OVL_LEN 	 READ2_LENGTH 	 READ2_START 	 READ2_END 	 READ2_OVL_LEN 	 MATCHES 	 INSERTIONS 	 DELETIONS 
seq4_1-seq4_65	1122	5	1116	1111	6968	4760	5872	1112	1053	58	59
seq4_1-seq4_112	1122	0	1116	1116	14967	6653	7769	1116	1050	66	66
seq4_1-seq4_41	1122	0	1116	1116	5477	31	1151	1120	1057	59	63
seq4_1-seq4_188	1122	0	1105	1105	23495	3088	4182	1094	1035	70	59
seq4_1-seq4_185	1122	0	1102	1102	19687	10566	11647	1081	1030	72	51
seq4_1-seq4_149	1122	3	1116	1113	22678	7630	8739	1109	1045	68	64
seq4_1-seq4_182	1122	0	1116	1116	14730	8103	9208	1105	1047	69	58
seq4_1-seq4_179	1122	3	1116	1113	9919	8420	9506	1086	1036	77	50
seq4_1-seq4_59	1122	3	1116	1113	8435	6793	7885	1092	1030	83	62
seq4_1-seq4_101	1122	0	1116	1116	2638	785	1863	1078	1022	94	56
seq4_1-seq4_138	1122	0	683	683	2782	2105	2779	674	646	37	28
seq4_1-seq4_142	1122	363	1116	753	9082	2	730	728	694	59	34
seq4_2-seq4_51	616	5	609	604	9208	2454	3063	609	581	23	28
seq4_2-seq4_37	616	12	601	589	5027	4392	4991	599	564	25	35
seq4_2-seq4_73	616	2	609	607	2126	167	769	602	572	35	30
seq4_3-seq4_68	831	14	824	810	6926	5186	6020	834	763	47	71
seq4_3-seq4_81	831	2	818	816	14545	2414	3236	822	766	50	56
seq4_3-seq4_93	831	2	779	777	14505	502	1300	798	744	33	54
seq4_3-seq4_35	831	2	824	822	9342	6437	7276	839	771	51	68
seq4_4-seq4_41	865	16	852	836	5477	1843	2777	934	800	36	134
seq4_4-seq4_65	865	6	320	314	6968	6545	6868	323	304	10	19
seq4_5-seq4_96	502	4	496	492	7542	4847	5365	518	473	19	45
seq4_5-seq4_67	502	25	496	471	7979	2565	3056	491	452	19	39
seq4_5-seq4_70	502	29	496	467	5807	4972	5459	487	448	19	39
seq4_5-seq4_72	502	25	454	429	9004	5491	5924	433	404	25	29
seq4_6-seq4_94	1257	0	1248	1248	10083	1243	2471	1228	1180	68	48
seq4_6-seq4_67	1257	12	1221	1209	7979	6775	7973	1198	1156	53	42
seq4_6-seq4_90	1257	8	1237	1229	3488	1875	3073	1198	1152	77	46
seq4_6-seq4_99	1257	5	1248	1243	2356	627	1837	1210	1163	80	47
seq4_6-seq4_60	1257	64	1248	1184	4153	0	1156	1156	1103	81	53
seq4_6-seq4_83	1257	5	1110	1105	1649	557	1630	1073	1031	74	42
seq4_6-seq4_91	1257	726	1248	522	2910	2	505	503	490	32	13
seq4_6-seq4_64	1257	957	1248	291	9477	15	298	283	279	12	4
seq4_7-seq4_92	574	16	561	545	10264	171	737	566	523	22	43
seq4_7-seq4_98	574	7	565	558	3157	2070	2654	584	537	21	47
seq4_7-seq4_93	574	3	561	558	14505	7088	7665	577	529	29	48
seq4_7-seq4_81	574	6	561	555	14545	8957	9525	568	521	34	47
seq4_7-seq4_88	574	6	553	547	15349	4208	4764	556	517	30	39
seq4_7-seq4_82	574	6	553	547	14931	5640	6202	562	527	20	35
seq4_10-seq4_137	2585	4	2578	2574	6873	2341	4892	2551	2440	134	111
seq4_10-seq4_180	2585	4	2578	2574	9279	4193	6762	2569	2446	128	123
seq4_10-seq4_176	2585	2	2580	2578	8037	1390	3957	2567	2440	138	127
seq4_10-seq4_187	2585	4	2580	2576	22794	5145	7700	2555	2421	155	134
seq4_10-seq4_84	2585	2	2578	2576	9942	1597	4139	2542	2411	165	131
seq4_10-seq4_86	2585	2	2578	2576	21396	16205	18738	2533	2408	168	125
seq4_10-seq4_122	2585	4	2578	2574	23210	8948	11494	2546	2410	164	136
seq4_10-seq4_29	2585	2	2542	2540	3112	624	3106	2482	2360	180	122
seq4_10-seq4_77	2585	8	2033	2025	11407	9400	11401	2001	1911	114	90
seq4_10-seq4_52	2585	657	2578	1921	11685	15	1915	1900	1800	121	100
seq4_10-seq4_54	2585	9	1757	1748	2924	1195	2918	1723	1642	106	81
seq4_11-seq4_136	4477	1	4463	4462	18949	2570	7040	4470	4220	242	250
seq4_11-seq4_72	4477	23	4472	4449	9004	4182	8656	4474	4220	229	254
seq4_11-seq4_175	4477	1	4471	4470	12552	2845	7360	4515	4244	226	271
seq4_11-seq4_189	4477	1	4473	4472	27782	14529	18995	4466	4201	271	265
seq4_11-seq4_67	4477	5	4471	4466	7979	1263	5740	4477	4202	264	275
seq4_11-seq4_188	4477	1	4471	4470	23495	18394	22918	4524	4234	236	290
seq4_11-seq4_190	4477	8	4472	4464	30029	165	4638	4473	4204	260	269
seq4_11-seq4_165	4477	20	4472	4452	38554	8046	12495	4449	4178	274	271
seq4_11-seq4_186	4477	1	4432	4431	19915	10140	14577	4437	4166	265	271
seq4_11-seq4_157	4477	1	3872	3871	9441	5534	9434	3900	3673	198	227
seq4_11-seq4_96	4477	1	3989	3988	7542	3566	7538	3972	3733	255	239
seq4_11-seq4_15	4477	1253	4471	3218	6240	1	3211	3210	3034	184	176
