KEY 	 READ1_START 	 READ1_END 	 READ1_OVL_LEN 	 READ1_START 	 READ1_END 	 READ1_OVL_LEN 	 MATCHES 	 INSERTIONS 	 DELETIONS 
seq5_1-seq8_92	29	1777	1748	5280	7016	1736	1629	119	107
seq5_16-seq8_86	2	3437	3435	6741	10214	3473	3226	209	247
seq5_20-seq8_54	14	3696	3682	1418	5062	3644	3400	282	244
seq5_21-seq8_17	1259	2932	1673	16	1682	1666	1558	115	108
seq5_23-seq5_96	4	2801	2797	3237	6060	2823	2655	142	168
seq5_24-seq9_32	120	2285	2165	2650	4787	2137	2008	157	129
seq5_31-seq6_83	6	2974	2968	6165	9125	2960	2773	195	187
seq5_32-seq7_89	4	4591	4587	26442	31048	4606	4282	305	324
seq5_58-seq8_90	39	2040	2001	14742	16748	2006	1870	131	136
seq5_58-seq8_88	42	2373	2331	7443	9765	2322	2155	176	167
seq5_60-seq9_45	180	1898	1718	548	2250	1702	1600	118	102
seq5_62-seq6_21	4132	6190	2058	3	2105	2102	1962	96	140
seq5_62-seq9_56	4	2951	2947	9414	12333	2919	2709	238	210
seq5_63-seq5_66	8314	9899	1585	8	1600	1592	1488	97	104
seq5_67-seq7_63	906	4943	4037	0	3996	3996	3739	298	257
seq5_69-seq7_89	14	13094	13080	2470	15733	13263	12190	890	1073
seq5_69-seq5_75	8228	13278	5050	0	5118	5118	4766	284	352
seq5_69-seq9_67	14	5973	5959	4655	10852	6197	5586	373	611
seq5_75-seq7_89	53	15030	14977	10877	25675	14798	13832	1145	966
seq5_77-seq7_91	41	16272	16231	10981	27157	16176	15216	1015	960
seq5_77-seq9_98	41	16922	16881	7162	24014	16852	15802	1079	1050
seq5_77-seq6_84	7390	15660	8270	20	7909	7889	7414	856	475
seq5_77-seq9_57	9771	15693	5922	0	5860	5860	5514	408	346
seq5_79-seq7_76	76	8801	8725	1860	10502	8642	8123	602	519
seq5_83-seq7_16	313	1524	1211	10	1219	1209	1145	66	64
seq5_86-seq7_13	5165	6785	1620	3	1616	1613	1514	106	99
seq5_87-seq8_86	16	11877	11861	12242	24133	11891	11111	750	780
seq5_88-seq5_92	0	11717	11717	10219	21907	11688	11020	697	668
seq5_88-seq9_42	3	6036	6033	1049	7065	6016	5634	399	382
seq5_89-seq6_73	44	11827	11783	5411	17063	11652	10970	813	682
seq5_90-seq6_52	0	5406	5406	2564	7972	5408	5048	358	360
seq5_90-seq6_46	1	4816	4815	7483	12277	4794	4491	324	303
seq5_90-seq9_75	3934	7327	3393	0	3423	3423	3186	207	237
seq5_91-seq6_87	1	4380	4379	2912	7254	4342	4092	287	250
seq5_92-seq9_42	9168	16215	7047	2	7065	7063	6596	451	467
seq5_93-seq8_82	38	7004	6966	11633	18536	6903	6466	500	437
seq5_94-seq8_76	16934	19228	2294	0	2253	2253	2137	157	116
seq5_95-seq7_59	8437	11131	2694	1	2700	2699	2521	173	178
seq5_98-seq9_41	1111	3065	1954	3	1974	1971	1836	118	135
seq5_100-seq7_94	10109	46446	36337	42	36758	36716	34038	2299	2678
seq5_100-seq6_55	40436	45439	5003	72	5075	5003	4708	295	295
seq4_4-seq9_49	2	1529	1527	3964	5480	1516	1409	118	107
seq4_10-seq6_1	28	1607	1579	1253	2845	1592	1485	94	107
seq4_13-seq6_66	6	2301	2295	4574	6881	2307	2167	128	140
seq4_14-seq5_89	4	2172	2168	2467	4622	2155	2032	136	123
seq4_14-seq6_73	2	2130	2128	7787	9911	2124	2010	118	114
seq4_27-seq7_41	93	4440	4347	16	4369	4353	4066	281	287
seq4_27-seq6_73	967	4441	3474	36	3451	3415	3219	255	196
seq4_30-seq9_95	797	1904	1107	53	1183	1130	1056	51	74
seq4_32-seq5_5	4683	6357	1674	7	1668	1661	1573	101	88
seq4_33-seq8_84	4864	6764	1900	24	1972	1948	1817	83	131
seq4_35-seq4_97	2	808	806	10829	11632	803	751	55	52
seq4_38-seq7_71	3	4854	4851	7906	12751	4845	4542	309	303
seq4_40-seq4_67	10	3295	3285	2281	5514	3233	3080	205	153
seq4_41-seq5_97	0	3935	3935	9188	13081	3893	3688	247	205
seq4_42-seq9_81	0	7742	7742	4631	12467	7836	7284	458	552
seq4_47-seq8_77	7	4971	4964	4427	9418	4991	4640	324	351
seq4_48-seq8_91	2	4415	4413	25929	30148	4219	3934	479	285
seq4_49-seq6_75	13	4513	4500	692	5201	4509	4227	273	282
seq4_51-seq8_94	18	2488	2470	6577	9085	2508	2328	142	180
seq4_52-seq6_6	16	1469	1453	1468	2920	1452	1372	81	80
seq4_53-seq6_3	3676	5175	1499	43	1516	1473	1399	100	74
seq4_54-seq9_69	8	3547	3539	7716	11213	3497	3302	237	195
seq4_54-seq7_51	9990	11910	1920	8	1907	1899	1802	118	97
seq4_55-seq6_65	28	4292	4264	1	4287	4286	3990	274	296
seq4_55-seq9_36	20	3779	3759	3467	7217	3750	3498	261	252
seq4_58-seq5_82	2629	6962	4333	6	4328	4322	4041	292	281
seq4_62-seq9_79	1	4017	4016	1347	5354	4007	3734	282	273
seq4_64-seq6_41	4217	10499	6282	12	6328	6316	5923	359	393
seq4_64-seq6_32	9236	12175	2939	1	2946	2945	2746	193	199
seq4_64-seq6_62	5630	7943	2313	25	2332	2307	2150	163	157
seq4_66-seq6_25	637	1850	1213	8	1218	1210	1144	69	66
seq4_67-seq9_97	73	2868	2795	23293	26078	2785	2609	186	176
seq4_70-seq6_71	0	5576	5576	1514	7087	5573	5195	381	378
seq4_78-seq7_35	7139	10962	3823	0	3877	3877	3588	235	289
seq4_80-seq8_61	8	2867	2859	9604	12494	2890	2697	162	193
seq4_84-seq6_32	5	2250	2245	7618	9822	2204	2074	171	130
seq4_85-seq7_90	1485	10203	8718	0	8359	8359	7865	853	494
seq4_85-seq9_31	6891	10282	3391	20	3374	3354	3160	231	194
seq4_85-seq9_78	9441	10282	841	58	892	834	798	43	36
seq4_86-seq5_20	2627	8135	5508	14	5495	5481	5147	361	334
seq4_86-seq8_54	1195	6339	5144	0	5074	5074	4802	342	272
seq4_87-seq5_87	17	8994	8977	4732	13746	9014	8487	490	527
seq4_87-seq8_86	17	7125	7108	16972	24117	7145	6714	394	431
seq4_88-seq9_35	8	2418	2410	2161	4593	2432	2268	142	164
seq4_89-seq6_33	10372	13063	2691	0	2634	2634	2507	184	127
seq4_89-seq7_93	18589	21298	2709	6	2744	2738	2542	167	196
seq4_92-seq5_25	10740	16361	5621	3	5622	5619	5280	341	339
seq4_92-seq7_25	8440	11239	2799	6	2794	2788	2618	181	170
seq4_93-seq5_13	18589	20834	2245	30	2286	2256	2105	140	151
seq4_95-seq6_37	9197	14224	5027	29	5025	4996	4706	321	290
seq4_97-seq5_99	11282	20034	8752	1	8818	8817	8228	524	589
seq1_1-seq1_90	5	951	946	6593	7539	946	898	48	48
seq1_2-seq4_84	95	3272	3177	2844	6057	3213	3006	171	207
seq1_3-seq9_70	4	2461	2457	3701	6163	2462	2298	159	164
seq1_4-seq1_95	1	1289	1288	3208	4493	1285	1220	68	65
seq1_4-seq5_62	7	1289	1282	2998	4284	1286	1216	66	70
seq1_5-seq5_29	12	2935	2923	528	3481	2953	2757	166	196
seq1_6-seq9_96	0	2683	2683	6207	8922	2715	2534	149	181
seq1_6-seq6_72	69	1771	1702	6521	8213	1692	1587	115	105
seq1_7-seq7_71	3	1623	1620	2542	4153	1611	1526	94	85
seq1_7-seq2_73	3	734	731	8202	8933	731	688	43	43
seq1_9-seq5_99	0	2959	2959	31191	34213	3022	2796	163	226
seq1_11-seq4_95	10	2091	2081	1965	4062	2097	1960	121	137
seq1_13-seq3_22	7	4532	4525	150	4608	4458	4204	321	254
seq1_14-seq3_35	3060	4293	1233	39	1269	1230	1151	82	79
