KEY , READ1_LENGTH , READ1_START , READ1_END , READ1_OVL_LEN , READ2_LENGTH , READ2_START , READ2_END , READ2_OVL_LEN , MATCHES , INSERTIONS , DELETIONS 
seq5_1-seq8_92,1812,2,1812,1810,18402,5253,7042,1789,1676,134,113
seq5_16-seq8_86,3452,2,3452,3450,24186,6741,10231,3490,3241,209,249
seq5_20-seq8_54,5505,0,3696,3696,5107,1404,5062,3658,3414,282,244
seq5_21-seq8_17,3611,1259,2932,1673,1702,16,1682,1666,1558,115,108
seq5_23-seq5_96,2804,0,2804,2804,12272,3236,6062,2826,2658,146,168
seq5_24-seq9_32,4128,0,2285,2285,4900,2541,4787,2246,2113,172,133
seq5_31-seq6_83,3042,0,3042,3042,10756,6159,9195,3036,2843,199,193
seq5_32-seq7_89,4791,0,4591,4591,31093,26439,31048,4609,4285,306,324
seq5_58-seq8_90,2422,0,2040,2040,16758,14703,16748,2045,1904,136,141
seq5_58-seq8_88,2422,0,2422,2422,13972,7405,9813,2408,2236,186,172
seq5_60-seq9_45,11413,2,1898,1896,2259,376,2250,1874,1763,133,111
seq5_62-seq6_21,6216,4132,6216,2084,2444,3,2122,2119,1978,106,141
seq5_62-seq9_56,6216,0,2951,2951,12343,9410,12333,2923,2713,238,210
seq5_63-seq5_66,9910,8314,9910,1596,6091,8,1607,1599,1495,101,104
seq5_67-seq7_63,4950,906,4950,4044,11823,0,3997,3997,3740,304,257
seq5_69-seq7_89,13289,0,13094,13094,31093,2458,15733,13275,12202,892,1073
seq5_69-seq5_75,13289,8228,13289,5061,15172,0,5129,5129,4774,287,355
seq5_69-seq9_67,13289,14,5973,5959,10859,4655,10852,6197,5586,373,611
seq5_75-seq7_89,15172,0,15172,15172,31093,10833,25813,14980,14002,1170,978
seq5_77-seq7_91,16950,0,16272,16272,27180,10930,27157,16227,15255,1017,972
seq5_77-seq9_98,16950,41,16950,16909,40412,7162,24036,16874,15821,1088,1053
seq5_77-seq6_84,16950,7390,15660,8270,7915,20,7909,7889,7414,856,475
seq5_77-seq9_57,16950,9771,15693,5922,5871,0,5860,5860,5514,408,346
seq5_79-seq7_76,12388,2,8801,8799,10537,1774,10502,8728,8193,606,535
seq5_83-seq7_16,2472,313,1524,1211,1243,10,1219,1209,1145,66,64
seq5_86-seq7_13,12571,5165,6785,1620,1645,3,1616,1613,1514,106,99
seq5_87-seq8_86,13749,2,11877,11875,24186,12229,24133,11904,11124,751,780
seq5_88-seq5_92,13051,0,11717,11717,21913,10219,21907,11688,11020,697,668
seq5_88-seq9_42,13051,0,6036,6036,7077,1046,7065,6019,5637,399,382
seq5_89-seq6_73,12085,0,11827,11827,17181,5371,17063,11692,11008,819,684
seq5_90-seq6_52,21456,0,5406,5406,8003,2564,7972,5408,5048,358,360
seq5_90-seq6_46,21456,0,4816,4816,12314,7482,12277,4795,4492,324,303
seq5_90-seq9_75,21456,3934,7327,3393,3456,0,3423,3423,3186,207,237
seq5_91-seq6_87,7646,0,4380,4380,7351,2911,7254,4343,4093,287,250
seq5_92-seq9_42,21913,9168,16215,7047,7077,2,7065,7063,6596,451,467
seq5_93-seq8_82,12999,0,7004,7004,18544,11594,18536,6942,6503,501,439
seq5_94-seq8_76,19291,16934,19228,2294,6760,0,2253,2253,2137,157,116
seq5_95-seq7_59,12099,8437,11131,2694,2712,1,2700,2699,2521,173,178
seq5_98-seq9_41,26069,1111,3065,1954,2148,3,1974,1971,1836,118,135
seq5_100-seq7_94,46470,10109,46470,36361,38487,42,36787,36745,34062,2299,2683
seq5_100-seq6_55,46470,40436,45439,5003,5088,72,5075,5003,4708,295,295
seq4_4-seq9_49,1536,2,1536,1534,6324,3964,5486,1522,1415,119,107
seq4_10-seq6_1,1643,0,1643,1643,2953,1224,2881,1657,1542,101,115
seq4_13-seq6_66,4998,0,2301,2301,6899,4564,6881,2317,2173,128,144
seq4_14-seq5_89,2203,0,2203,2203,12085,2463,4656,2193,2063,140,130
seq4_14-seq6_73,2203,0,2203,2203,17181,7785,9987,2202,2083,120,119
seq4_27-seq7_41,4447,93,4447,4354,6588,16,4377,4361,4073,281,288
seq4_27-seq6_73,4447,967,4447,3480,17181,36,3458,3422,3225,255,197
seq4_30-seq9_95,1912,797,1912,1115,18304,53,1193,1140,1063,52,77
seq4_32-seq5_5,7739,4683,6357,1674,1745,7,1668,1661,1573,101,88
seq4_33-seq8_84,6789,4864,6789,1925,2719,24,1996,1972,1840,85,132
seq4_35-seq4_97,818,0,818,818,20041,10827,11643,816,763,55,53
seq4_38-seq7_71,7557,0,4854,4854,12767,7902,12751,4849,4545,309,304
seq4_40-seq4_67,3629,0,3295,3295,5520,2270,5514,3244,3088,207,156
seq4_41-seq5_97,4443,0,3935,3935,13093,9188,13081,3893,3688,247,205
seq4_42-seq9_81,8143,0,7742,7742,12473,4631,12467,7836,7284,458,552
seq4_47-seq8_77,5112,0,4971,4971,9452,4418,9418,5000,4647,324,353
seq4_48-seq8_91,6298,0,4415,4415,30207,25927,30148,4221,3936,479,285
seq4_49-seq6_75,4548,0,4548,4548,18617,675,5240,4565,4271,277,294
seq4_51-seq8_94,2498,0,2498,2498,19246,6562,9091,2529,2349,149,180
seq4_52-seq6_6,3064,0,1469,1469,2932,1456,2920,1464,1384,85,80
seq4_53-seq6_3,7946,3676,5175,1499,1524,43,1516,1473,1399,100,74
seq4_54-seq9_69,11948,0,3547,3547,11219,7711,11213,3502,3307,240,195
seq4_54-seq7_51,11948,9990,11948,1958,5591,8,1950,1942,1832,126,110
seq4_55-seq6_65,4300,0,4300,4300,10567,0,4297,4297,3999,301,298
seq4_55-seq9_36,4300,0,3779,3779,7262,3449,7217,3768,3513,266,255
seq4_58-seq5_82,6970,2629,6970,4341,10681,6,4330,4324,4043,298,281
seq4_62-seq9_79,9914,0,4017,4017,5363,1346,5354,4008,3735,282,273
seq4_64-seq6_41,12188,4217,10499,6282,6328,12,6328,6316,5923,359,393
seq4_64-seq6_32,12188,9236,12188,2952,9833,1,2952,2951,2752,200,199
seq4_64-seq6_62,12188,5630,7943,2313,2346,25,2332,2307,2150,163,157
seq4_66-seq6_25,7461,637,1850,1213,1224,8,1218,1210,1144,69,66
