KEY 	 READ1_LENGTH 	 READ1_START 	 READ1_END 	 READ1_OVL_LEN 	 READ2_LENGTH 	 READ2_START 	 READ2_END 	 READ2_OVL_LEN 	 MATCHES 	 INSERTIONS 	 DELETIONS 
origSeq_1-origSeq_192	3177	0	3177	3177	47088	21031	24262	3231	3017	160	214
origSeq_1-origSeq_66	3177	0	3177	3177	12390	3678	6875	3197	2983	194	214
origSeq_1-origSeq_124	3177	0	3177	3177	26618	20332	23515	3183	2998	179	185
origSeq_1-origSeq_89	3177	0	3177	3177	17466	4250	7426	3176	2977	200	199
origSeq_1-origSeq_90	3177	0	3177	3177	14077	7350	10508	3158	2981	196	177
origSeq_1-origSeq_70	3177	0	3177	3177	8278	3500	6683	3183	2979	198	204
origSeq_1-origSeq_165	3177	0	3177	3177	22641	9290	12480	3190	2994	183	196
origSeq_1-origSeq_153	3177	0	3177	3177	8559	3975	7155	3180	2968	209	212
origSeq_1-origSeq_100	3177	2	3177	3175	16312	4604	7763	3159	2960	215	199
origSeq_1-origSeq_134	3177	0	3177	3177	18418	7885	11084	3199	2989	188	210
origSeq_1-origSeq_104	3177	2	3177	3175	4949	1095	4277	3182	2983	192	199
origSeq_1-origSeq_139	3177	0	3177	3177	15013	3021	6167	3146	2967	210	179
origSeq_1-origSeq_86	3177	186	3177	2991	3221	1	2996	2995	2787	204	208
origSeq_1-origSeq_181	3177	0	3177	3177	11249	2939	6059	3120	2927	250	193
origSeq_1-origSeq_186	3177	0	2358	2358	13958	11599	13951	2352	2212	146	140
origSeq_1-origSeq_145	3177	817	3177	2360	2575	28	2398	2370	2210	150	160
origSeq_1-origSeq_45	3177	0	1544	1544	7344	5809	7342	1533	1443	101	90
origSeq_1-origSeq_155	3177	2	1365	1363	14003	12639	13994	1355	1280	83	75
origSeq_1-origSeq_53	3177	2243	3177	934	5003	6	947	941	882	52	59
origSeq_1-origSeq_164	3177	2707	3177	470	4943	2	481	479	437	33	42
origSeq_2-origSeq_93	2612	0	2612	2612	11829	5642	8247	2605	2455	157	150
origSeq_2-origSeq_68	2612	0	2612	2612	6602	1316	3930	2614	2458	154	156
origSeq_2-origSeq_80	2612	0	1194	1194	7860	6663	7852	1189	1122	72	67
origSeq_2-origSeq_62	2612	2253	2612	359	1217	0	361	361	341	18	20
origSeq_3-origSeq_51	2584	0	2584	2584	3798	1193	3796	2603	2466	118	137
origSeq_3-origSeq_73	2584	0	2584	2584	12487	1331	3904	2573	2422	162	151
origSeq_3-origSeq_34	2584	1082	2584	1502	5805	5	1507	1502	1424	78	78
origSeq_3-origSeq_85	2584	1662	2584	922	939	23	939	916	868	54	48
origSeq_5-origSeq_95	860	0	860	860	11131	8138	9016	878	818	42	60
origSeq_5-origSeq_97	860	0	860	860	5262	2386	3265	879	823	37	56
origSeq_5-origSeq_60	860	0	860	860	12013	4706	5560	854	806	54	48
origSeq_5-origSeq_57	860	0	860	860	7337	3081	3950	869	818	42	51
origSeq_5-origSeq_82	860	0	860	860	11561	8266	9136	870	813	47	57
origSeq_5-origSeq_96	860	0	860	860	19709	11537	12402	865	808	52	57
origSeq_5-origSeq_76	860	0	860	860	7647	2021	2886	865	805	55	60
origSeq_5-origSeq_59	860	0	300	300	10331	10026	10321	295	283	17	12
origSeq_6-origSeq_89	1395	0	1395	1395	17466	271	1651	1380	1317	78	63
origSeq_6-origSeq_90	1395	0	1395	1395	14077	3414	4774	1360	1311	84	49
origSeq_6-origSeq_91	1395	0	1395	1395	12771	11069	12452	1383	1321	74	62
origSeq_6-origSeq_78	1395	0	1395	1395	5526	1794	3175	1381	1308	87	73
origSeq_6-origSeq_83	1395	0	1395	1395	1434	115	1432	1317	1255	140	62
origSeq_6-origSeq_66	1395	289	1395	1106	12390	4	1089	1085	1033	73	52
origSeq_6-origSeq_70	1395	413	1395	982	8278	6	967	961	916	66	45
origSeq_7-origSeq_82	1999	0	1999	1999	11561	5419	7437	2018	1912	87	106
origSeq_7-origSeq_95	1999	0	1999	1999	11131	5312	7300	1988	1875	124	113
origSeq_7-origSeq_96	1999	2	1999	1997	19709	8703	10688	1985	1863	134	122
origSeq_7-origSeq_97	1999	426	1999	1573	5262	0	1559	1559	1474	99	85
origSeq_7-origSeq_76	1999	841	1999	1158	7647	0	1184	1184	1103	55	81
origSeq_7-origSeq_8	1999	0	649	649	4447	3765	4412	647	616	33	31
origSeq_8-origSeq_82	4447	0	4447	4447	11561	1654	6115	4461	4212	235	249
origSeq_8-origSeq_96	4447	0	4447	4447	19709	4945	9382	4437	4214	233	223
origSeq_8-origSeq_95	4447	0	4447	4447	11131	1569	6011	4442	4190	257	252
origSeq_8-origSeq_94	4447	0	897	897	1837	920	1825	905	850	47	55
origSeq_9-origSeq_93	3402	0	3402	3402	11829	1751	5273	3522	3250	152	272
origSeq_10-origSeq_139	3535	2	3535	3533	15013	9877	13397	3520	3337	196	183
origSeq_10-origSeq_140	3535	0	3535	3535	13483	4033	7589	3556	3355	180	201
origSeq_10-origSeq_75	3535	0	3535	3535	7594	2463	6009	3546	3354	181	192
origSeq_10-origSeq_100	3535	0	3535	3535	16312	11519	15018	3499	3331	204	168
origSeq_10-origSeq_165	3535	0	3535	3535	22641	16202	19732	3530	3341	194	189
origSeq_10-origSeq_134	3535	0	3535	3535	18418	14812	18331	3519	3331	204	188
origSeq_10-origSeq_127	3535	0	3535	3535	16943	817	4323	3506	3337	198	169
origSeq_10-origSeq_133	3535	254	3535	3281	17758	1	3254	3253	3095	186	158
origSeq_10-origSeq_177	3535	2	3535	3533	9902	812	4334	3522	3337	196	185
origSeq_10-origSeq_89	3535	0	3535	3535	17466	11191	14697	3506	3326	209	180
origSeq_10-origSeq_167	3535	0	3535	3535	12915	3280	6794	3514	3327	208	187
origSeq_10-origSeq_169	3535	268	3535	3267	18645	0	3259	3259	3075	192	184
origSeq_10-origSeq_192	3535	0	3535	3535	47088	27991	31462	3471	3278	257	193
origSeq_10-origSeq_101	3535	634	3535	2901	10048	3	2865	2862	2723	178	139
origSeq_10-origSeq_54	3535	1109	3142	2033	2031	3	2026	2023	1918	115	105
origSeq_10-origSeq_66	3535	0	1793	1793	12390	10594	12359	1765	1668	125	97
origSeq_10-origSeq_98	3535	1680	3535	1855	2007	0	1846	1846	1750	105	96
origSeq_10-origSeq_25	3535	1751	3535	1784	3903	0	1785	1785	1681	103	104
origSeq_10-origSeq_181	3535	2	1477	1475	11249	9768	11246	1478	1396	79	82
origSeq_10-origSeq_166	3535	2046	3535	1489	3139	4	1468	1464	1387	102	77
origSeq_10-origSeq_103	3535	918	2034	1116	1130	8	1124	1116	1052	64	64
origSeq_10-origSeq_36	3535	2515	3535	1020	1530	9	1028	1019	968	52	51
origSeq_10-origSeq_99	3535	1721	2811	1090	1116	13	1096	1083	1026	64	57
origSeq_10-origSeq_31	3535	0	892	892	2791	1921	2782	861	827	65	34
origSeq_10-origSeq_179	3535	2602	3535	933	6953	2	912	910	863	70	47
origSeq_10-origSeq_131	3535	2615	3535	920	19393	1	915	914	864	56	50
origSeq_10-origSeq_164	3535	0	738	738	4943	4197	4920	723	694	44	29
origSeq_10-origSeq_53	3535	2	273	271	5003	4677	4958	281	268	3	13
origSeq_11-origSeq_67	1005	0	1005	1005	10468	5831	6856	1025	962	43	63
origSeq_11-origSeq_71	1005	0	1005	1005	8532	6817	7821	1004	947	58	57
origSeq_11-origSeq_182	1005	0	1005	1005	26524	12234	13244	1010	945	60	65
origSeq_11-origSeq_119	1005	0	1005	1005	9320	2222	3225	1003	950	55	53
origSeq_11-origSeq_112	1005	87	1005	918	11483	6	918	912	861	57	51
origSeq_11-origSeq_183	1005	0	1005	1005	11124	3383	4372	989	926	79	63
origSeq_11-origSeq_121	1005	0	793	793	10092	9297	10086	789	744	49	45
origSeq_11-origSeq_77	1005	443	1005	562	3518	4	551	547	514	48	33
origSeq_11-origSeq_173	1005	626	1005	379	6213	9	385	376	356	23	20
origSeq_12-origSeq_134	459	0	459	459	18418	13568	14037	469	442	17	27
origSeq_12-origSeq_75	459	0	459	459	7594	1207	1665	458	434	25	24
origSeq_12-origSeq_53	459	0	459	459	5003	3430	3884	454	434	25	20
origSeq_12-origSeq_31	459	0	459	459	2791	657	1120	463	439	20	24
origSeq_12-origSeq_139	459	0	459	459	15013	8632	9089	457	437	22	20
origSeq_12-origSeq_164	459	0	459	459	4943	2955	3413	458	431	28	27
origSeq_12-origSeq_140	459	0	459	459	13483	2793	3249	456	425	34	31
origSeq_12-origSeq_167	459	0	459	459	12915	2020	2478	458	431	28	27
origSeq_12-origSeq_124	459	0	459	459	26618	25955	26426	471	437	22	34
origSeq_12-origSeq_181	459	0	459	459	11249	8526	8971	445	421	38	24
origSeq_12-origSeq_90	459	0	459	459	14077	12973	13418	445	419	40	26
origSeq_12-origSeq_165	459	0	459	459	22641	14944	15406	462	432	27	30
origSeq_12-origSeq_66	459	0	459	459	12390	9350	9808	458	421	38	37
origSeq_12-origSeq_192	459	0	459	459	47088	26731	27185	454	423	36	31
