KEY , ALPHA1 , ALPHA2 , GAPS , MATCHES , ALL , OVERLAP_TYPE ,R1L,R1S,R1E,R2L,R2S,R2E
origSeq_149-origSeq_192,0.009694715,0.00945954,0.000887015,0.005624224,0.003548496,Good Overlap,3940,0,490,47088,46603,47081
origSeq_156-origSeq_182,0.009966434,0.009761892,0.00092681,0.007015743,0.005130436,Good Overlap,12592,0,386,26524,26138,26516
origSeq_135-origSeq_192,0.01261805,0.012977556,0.001022627,0.007807068,0.005044357,Good Overlap,485,0,485,47088,37952,38451
origSeq_24-origSeq_89,0.013378548,0.012828259,0.001117392,0.009336395,0.006800208,Good Overlap,4348,0,288,17466,17179,17455
origSeq_142-origSeq_192,0.016157951,0.016073944,0.001889766,0.009627251,0.006122802,Good Overlap,757,0,757,47088,46093,46846
origSeq_137-origSeq_89,0.016510319,0.016563036,0.001465757,0.010443607,0.006946175,Good Overlap,1503,0,308,17466,17152,17461
origSeq_190-origSeq_94,0.016611701,0.016881888,0.00134577,0.011069453,0.007622245,Good Overlap,31476,0,544,1837,1272,1825
origSeq_12-origSeq_192,0.016881206,0.016700386,0.002123431,0.009000151,0.005335965,Good Overlap,459,0,459,47088,26731,27185
origSeq_12-origSeq_124,0.017377148,0.017823356,0.001700303,0.010384806,0.006527545,Good Overlap,459,0,459,26618,25955,26426
origSeq_156-origSeq_180,0.018923066,0.018205747,0.00144381,0.012737835,0.008926021,Good Overlap,12592,0,259,1351,1095,1344
origSeq_143-origSeq_89,0.019273186,0.019273186,0.001753076,0.013062766,0.009256526,Good Overlap,1948,0,367,17466,17094,17461
origSeq_189-origSeq_23,0.019411297,0.020066145,0.001675438,0.012243677,0.00807138,Good Overlap,39864,8440,9050,648,1,632
origSeq_137-origSeq_165,0.01955732,0.01955732,0.001739996,0.01274536,0.008744635,Good Overlap,1503,0,463,22641,22171,22634
origSeq_101-origSeq_31,0.019861762,0.018301902,0.001545973,0.013086708,0.009021353,Good Overlap,10048,0,250,2791,2539,2769
origSeq_152-origSeq_41,0.020288891,0.020009506,0.002012433,0.013352234,0.009171546,Good Overlap,14143,0,427,7331,6903,7324
origSeq_151-origSeq_184,0.020555427,0.020587846,0.001881336,0.013193813,0.008901486,Good Overlap,15444,0,621,15396,14767,15389
origSeq_186-origSeq_188,0.020928529,0.020586901,0.002104182,0.013165809,0.008848397,Good Overlap,13958,0,600,15308,14711,15301
origSeq_190-origSeq_23,0.021276596,0.02192478,0.002032959,0.013537296,0.00895259,Good Overlap,31476,2809,3419,648,3,632
origSeq_143-origSeq_165,0.021533089,0.021858378,0.002018891,0.013891554,0.009312978,Good Overlap,1948,0,518,22641,22108,22634
origSeq_133-origSeq_164,0.021930022,0.021224821,0.002219318,0.013116037,0.008446048,Good Overlap,17758,0,487,4943,4449,4920
origSeq_139-origSeq_83,0.021978706,0.021674141,0.001867299,0.012974547,0.008321288,Good Overlap,15013,0,353,1434,1048,1396
origSeq_125-origSeq_147,0.022370715,0.023411048,0.001763508,0.014309906,0.009299613,Good Overlap,16120,5795,6026,913,1,243
origSeq_127-origSeq_90,0.022716033,0.022490437,0.00163662,0.013618822,0.008660097,Good Overlap,16943,0,689,14077,13388,14070
origSeq_183-origSeq_73,0.023201353,0.02303188,0.002085604,0.014574909,0.009708921,Good Overlap,11124,2,537,12487,11937,12468
origSeq_147-origSeq_189,0.02329141,0.023166811,0.002453428,0.013243805,0.008130047,Good Overlap,913,0,913,39864,38286,39194
origSeq_192-origSeq_28,0.024958154,0.024899862,0.00228633,0.014910301,0.009592843,Good Overlap,47088,13634,14469,900,2,835
origSeq_187-origSeq_23,0.025007952,0.025279224,0.002106075,0.016946801,0.011855575,Good Overlap,27328,2176,2805,648,0,636
origSeq_131-origSeq_134,0.025811009,0.025811009,0.002537536,0.015481458,0.010030806,Good Overlap,19393,0,950,18418,17413,18363
origSeq_182-origSeq_51,0.026013617,0.026771813,0.002307458,0.016539363,0.010962686,Good Overlap,26524,0,768,3798,2999,3790
origSeq_107-origSeq_152,0.026435217,0.026490442,0.002225296,0.015647488,0.010032762,Good Overlap,3958,0,466,14143,13670,14137
origSeq_139-origSeq_6,0.026630741,0.02730119,0.002502542,0.017317424,0.011750967,Good Overlap,15013,0,425,1395,946,1382
origSeq_182-origSeq_72,0.026741868,0.026410506,0.002586487,0.015991587,0.01027955,Good Overlap,26524,5958,6508,554,1,544
origSeq_182-origSeq_3,0.027156832,0.027603247,0.002690954,0.016367364,0.010493029,Good Overlap,26524,0,769,2584,1793,2575
origSeq_125-origSeq_187,0.027421871,0.02698484,0.002669521,0.017270122,0.011634429,Good Overlap,16120,0,1160,27328,26182,27323
origSeq_5-origSeq_59,0.027558332,0.027111479,0.002752693,0.016825762,0.010964381,Good Overlap,860,0,300,10331,10026,10321
origSeq_139-origSeq_91,0.027666815,0.02745098,0.002563118,0.01797035,0.01230671,Good Overlap,15013,0,748,12771,12023,12765
origSeq_182-origSeq_85,0.028819848,0.028856243,0.003082673,0.018696763,0.01272525,Good Overlap,26524,0,769,939,159,929
origSeq_177-origSeq_90,0.029005406,0.028588599,0.003885297,0.017483319,0.011367118,Good Overlap,9902,0,676,14077,13404,14070
origSeq_181-origSeq_91,0.029046354,0.028879938,0.002522161,0.016855822,0.010528922,Good Overlap,11249,0,678,12771,12093,12767
origSeq_148-origSeq_182,0.029297113,0.028942237,0.002438075,0.017250933,0.010844185,Good Overlap,481,0,481,26524,15937,16412
origSeq_12-origSeq_165,0.02979939,0.029988316,0.003277875,0.016827104,0.010249068,Good Overlap,459,0,459,22641,14944,15406
origSeq_181-origSeq_6,0.030298094,0.029191129,0.003185087,0.018466097,0.012135521,Good Overlap,11249,0,372,1395,1029,1387
origSeq_169-origSeq_31,0.030541683,0.029143022,0.002624828,0.018656311,0.012248105,Good Overlap,18645,0,636,2791,2179,2785
origSeq_192-origSeq_44,0.030606101,0.031318938,0.003341387,0.019851949,0.013403306,Good Overlap,47088,17193,18108,945,1,938
origSeq_124-origSeq_19,0.030966391,0.030047417,0.002329666,0.018738764,0.011984881,Good Overlap,26618,6648,7269,691,84,686
origSeq_125-origSeq_93,0.031046053,0.030187844,0.003465229,0.020013558,0.013605486,Good Overlap,16120,0,842,11829,11001,11819
origSeq_109-origSeq_64,0.031101578,0.031175795,0.002975818,0.019789472,0.013281283,Good Overlap,9570,0,406,3939,3484,3891
origSeq_38-origSeq_67,0.031196608,0.031012658,0.003170071,0.019641325,0.013122168,Good Overlap,5841,0,493,10468,9962,10452
origSeq_189-origSeq_5,0.031322464,0.030388516,0.00347098,0.018841985,0.012054165,Good Overlap,39864,11834,12712,860,1,852
origSeq_133-origSeq_31,0.032028112,0.031298669,0.003001478,0.01935729,0.012505078,Good Overlap,17758,0,638,2791,2162,2785
origSeq_111-origSeq_191,0.032106921,0.032144092,0.003351508,0.019802288,0.013084901,Good Overlap,4768,0,836,22116,21270,22107
origSeq_12-origSeq_134,0.032722606,0.033411698,0.003006046,0.021411161,0.01449373,Good Overlap,459,0,459,18418,13568,14037
origSeq_10-origSeq_53,0.033008526,0.034184915,0.003173522,0.022307035,0.015010211,Good Overlap,3535,2,273,5003,4677,4958
